split,sample_id,content_positions
train,190740$_$4,22
train,190740$_$7,30
train,190740$_$6,14
train,192799$_$10,31
train,192799$_$17,28
train,192799$_$7,14
train,192799$_$8,29
train,194625$_$16,9
train,194625$_$18,48
train,194625$_$5,11
train,194625$_$7,39
train,197778$_$11,28
train,197778$_$2,15
train,197778$_$4,21
train,197778$_$9,15
train,19k6sEC7814$_$10,15
train,19k6sEC7814$_$4,18
train,1A-aRhYx-GQ$_$15,43
train,1A-aRhYx-GQ$_$31,23
train,1A-aRhYx-GQ$_$7,22
train,1A7dqFxx8wU$_$0,7
train,1CjUHNYzW1E$_$11,9
train,1ESU5ONMMxs$_$14,27
train,1ESU5ONMMxs$_$0,18
train,1ESU5ONMMxs$_$6,16
train,1ESU5ONMMxs$_$8,36
train,1F0qH0EEBfo$_$21,42
train,1F0qH0EEBfo$_$1,11
train,1F0qH0EEBfo$_$0,25
train,1F0qH0EEBfo$_$5,12
train,1F0qH0EEBfo$_$9,31
train,1F0qH0EEBfo$_$15,16
train,1F0qH0EEBfo$_$14,10
train,1JQ9UCBEmCU$_$1,12
train,1JQ9UCBEmCU$_$0,6
train,1W38PnuWIkM$_$3,21
train,1W38PnuWIkM$_$5,27
train,1W38PnuWIkM$_$4,25
train,1W38PnuWIkM$_$6,5
train,1bzS0YF5hfs$_$1,18
train,1dWsw38VDjY$_$9,31
train,1fqNb8cfLFE$_$2,48
train,1k7br8xXMSU$_$11,45
train,1k7br8xXMSU$_$12,48
train,1mHjMNZZvFo$_$1,27
train,1mHjMNZZvFo$_$5,17
train,1pvK0_9SQns$_$10,31
train,1pvK0_9SQns$_$8,35
train,1sJjdaXXuJg$_$4,28
train,1tuMFJnlXJc$_$20,32
train,1tuMFJnlXJc$_$1,14
train,1tuMFJnlXJc$_$3,48
train,1tuMFJnlXJc$_$4,20
train,2-4autDbHVQ$_$12,13
train,2-4autDbHVQ$_$19,10
train,2-4autDbHVQ$_$8,15
train,2-5hH_k2VFk$_$9,48
train,201582$_$2,48
train,201582$_$6,21
train,202431$_$6,48
train,202810$_$7,11
train,202810$_$8,27
train,202990$_$5,30
train,202990$_$6,38
train,206049$_$0,17
train,206049$_$3,35
train,206051$_$2,9
train,206376$_$2,11
train,206507$_$2,11
train,206507$_$6,35
train,206606$_$5,23
train,206606$_$7,37
train,207812$_$3,24
train,207812$_$9,11
train,207812$_$8,22
train,208148$_$11,19
train,208148$_$6,34
train,208299$_$5,48
train,208299$_$4,43
train,208299$_$6,39
train,208299$_$8,13
train,208416$_$11,29
train,208416$_$13,9
train,208416$_$16,6
train,208416$_$0,2
train,208416$_$2,15
train,208416$_$7,38
train,208416$_$9,17
train,208416$_$8,31
train,209354$_$1,26
train,209354$_$2,38
train,209775$_$10,26
train,209775$_$1,19
train,209775$_$0,9
train,209775$_$5,33
train,210238$_$13,11
train,210238$_$14,48
train,210238$_$16,41
train,210238$_$18,8
train,210238$_$1,2
train,210618$_$11,13
train,210618$_$10,11
train,210618$_$15,13
train,210618$_$5,15
train,210618$_$9,17
train,210618$_$8,18
train,21137$_$1,6
train,21137$_$0,13
train,21137$_$3,5
train,21137$_$2,18
train,21137$_$9,13
train,212532$_$10,23
train,212532$_$9,21
train,213619$_$0,6
train,213619$_$3,5
train,214095$_$11,9
train,214095$_$1,19
train,214095$_$4,8
train,215259$_$5,35
train,215259$_$4,4
train,216007$_$24,16
train,216007$_$28,3
train,216007$_$29,9
train,216007$_$1,41
train,216007$_$2,21
train,216007$_$5,14
train,216007$_$9,23
train,216007$_$12,48
train,21638$_$1,17
train,21638$_$0,17
train,21638$_$6,24
train,216857$_$1,9
train,216857$_$3,12
train,216857$_$6,6
train,216857$_$10,26
train,218708$_$13,48
train,218708$_$12,33
train,218708$_$15,19
train,218708$_$17,8
train,218708$_$1,14
train,218708$_$0,1
train,218708$_$8,12
train,219310$_$0,11
train,219310$_$2,23
train,219775$_$0,15
train,219775$_$5,14
train,220134$_$27,48
train,220134$_$21,32
train,220134$_$8,41
train,220134$_$17,38
train,220548$_$20,20
train,220548$_$1,48
train,220548$_$7,14
train,221740$_$0,3
train,221740$_$5,36
train,222116$_$1,27
train,222116$_$7,36
train,222116$_$6,45
train,223926$_$1,29
train,224599$_$1,14
train,224599$_$2,19
train,224599$_$5,38
train,224599$_$8,10
train,224772$_$12,6
train,224772$_$14,11
train,224772$_$1,9
train,224772$_$6,48
train,224869$_$10,27
train,224869$_$0,1
train,224869$_$3,48
train,224869$_$5,11
train,225343$_$10,13
train,225343$_$14,24
train,225343$_$3,48
train,225343$_$9,9
train,225416$_$14,31
train,225416$_$1,21
train,225416$_$3,10
train,225416$_$8,20
train,225768$_$6,31
train,227173$_$12,17
train,227173$_$6,22
train,227416$_$1,20
train,227416$_$0,28
train,227416$_$3,48
train,227416$_$5,29
train,227416$_$8,31
train,227426$_$19,13
train,227426$_$18,18
train,227426$_$0,17
train,227426$_$8,26
train,22821$_$14,16
train,22821$_$1,25
train,22821$_$0,6
train,22821$_$4,26
train,22821$_$9,34
train,22880$_$2,6
train,22880$_$6,10
train,229090$_$15,48
train,229090$_$16,11
train,229090$_$18,34
train,229903$_$0,12
train,229903$_$3,47
train,229967$_$2,6
train,230252$_$1,14
train,231025$_$11,13
train,231025$_$15,18
train,231025$_$14,9
train,231025$_$16,24
train,231025$_$0,7
train,231025$_$9,1
train,233171$_$1,46
train,233171$_$7,8
train,233356$_$1,11
train,233356$_$3,13
train,233366$_$4,20
train,233389$_$0,1
train,233389$_$5,37
train,234053$_$26,5
train,234053$_$21,7
train,234053$_$1,12
train,234053$_$11,37
train,234053$_$17,5
train,234053$_$19,11
train,234053$_$18,15
train,234587$_$2,16
train,234587$_$5,22
train,234587$_$11,27
train,234587$_$14,24
train,234587$_$16,10
train,234587$_$19,19
train,236399$_$4,8
train,236696$_$7,8
train,238023$_$22,31
train,238023$_$1,18
train,238023$_$37,45
train,238039$_$6,19
train,238060$_$13,43
train,238060$_$18,37
train,238060$_$5,23
train,238060$_$7,48
train,238100$_$3,14
train,238645$_$20,21
train,238645$_$23,23
train,238645$_$0,3
train,238645$_$6,5
train,238645$_$8,7
train,238889$_$2,24
train,238889$_$5,13
train,238889$_$4,25
train,238889$_$6,22
train,239235$_$11,18
train,239235$_$13,19
train,239235$_$1,13
train,239235$_$4,18
train,239235$_$8,10
train,239572$_$2,48
train,239572$_$4,5
train,23YlZoucbyM$_$4,30
train,240915$_$1,19
train,240915$_$2,27
train,240915$_$8,10
train,241164$_$10,34
train,241164$_$1,19
train,241164$_$0,19
train,241164$_$9,10
train,241172$_$3,42
train,241172$_$7,23
train,24202$_$10,21
train,24202$_$5,16
train,24202$_$4,8
train,24202$_$9,13
train,243338$_$20,16
train,243338$_$21,5
train,243338$_$22,48
train,243338$_$9,32
train,243341$_$23,12
train,243341$_$2,12
train,243341$_$7,13
train,243341$_$10,9
train,243341$_$14,23
train,244180$_$20,30
train,244180$_$4,11
train,244180$_$19,14
train,244180$_$18,5
train,244261$_$24,7
train,244261$_$20,22
train,244261$_$4,24
train,244261$_$7,14
train,244261$_$12,48
train,244261$_$14,19
train,244623$_$4,5
train,244623$_$9,4
train,244623$_$11,17
train,244623$_$17,33
train,244623$_$37,5
train,244817$_$2,15
train,244817$_$5,26
train,244817$_$9,32
train,245243$_$4,47
train,245276$_$2,9
train,245276$_$4,9
train,245276$_$7,16
train,245497$_$1,48
train,245497$_$2,30
train,245497$_$4,27
train,247382$_$1,17
train,247382$_$2,42
train,247382$_$6,21
train,247382$_$9,9
train,247382$_$11,33
train,247382$_$13,26
train,247382$_$14,23
train,248837$_$12,18
train,248837$_$6,8
train,24xayGF5yYA$_$24,46
train,24xayGF5yYA$_$26,26
train,24xayGF5yYA$_$3,6
train,24xayGF5yYA$_$2,22
train,24xayGF5yYA$_$10,27
train,24xayGF5yYA$_$15,13
train,24xayGF5yYA$_$16,31
train,250430$_$11,19
train,250430$_$10,11
train,250430$_$6,23
train,251417$_$1,7
train,251417$_$0,18
train,251646$_$13,22
train,251646$_$2,20
train,251646$_$4,10
train,251646$_$7,48
train,251826$_$6,13
train,251839$_$13,25
train,252177$_$2,9
train,252177$_$4,48
train,252177$_$9,9
train,25271$_$10,10
train,25271$_$0,36
train,254298$_$14,12
train,254298$_$0,3
train,254298$_$2,30
train,25522$_$0,11
train,25522$_$3,38
train,25522$_$5,38
train,255224$_$1,44
train,255224$_$5,23
train,255224$_$9,48
train,255224$_$8,17
train,255226$_$5,48
train,255226$_$8,29
train,255338$_$1,9
train,255338$_$2,6
train,255338$_$5,48
train,255338$_$7,18
train,255338$_$8,9
train,255343$_$0,22
train,255343$_$5,12
train,255343$_$8,12
train,255852$_$0,1
train,255852$_$6,21
train,255852$_$8,31
train,256174$_$6,17
train,256935$_$0,14
train,256935$_$4,25
train,256935$_$9,20
train,256935$_$10,18
train,256976$_$12,34
train,256976$_$2,23
train,256976$_$4,25
train,257045$_$11,14
train,257045$_$1,20
train,257531$_$15,25
train,257531$_$17,12
train,257531$_$1,12
train,257531$_$2,15
train,257771$_$15,12
train,257771$_$0,18
train,257771$_$3,18
train,257771$_$8,13
train,259260$_$26,13
train,259260$_$20,23
train,259260$_$22,4
train,259260$_$1,10
train,259260$_$37,13
train,25t8nrkUfRY$_$1,29
train,260011$_$20,11
train,260011$_$16,9
train,260011$_$0,5
train,260011$_$3,8
train,261267$_$11,24
train,261267$_$12,34
train,261267$_$15,29
train,261267$_$16,10
train,261267$_$19,17
train,261267$_$18,46
train,261267$_$2,4
train,261267$_$4,9
train,261267$_$8,12
train,261326$_$0,2
train,261326$_$3,48
train,261900$_$24,21
train,261900$_$27,25
train,261900$_$7,9
train,261900$_$9,11
train,261900$_$8,16
train,261900$_$30,12
train,261900$_$36,15
train,261900$_$34,8
train,261900$_$33,32
train,261902$_$0,4
train,261902$_$10,14
train,261902$_$15,35
train,261902$_$18,14
train,262165$_$22,7
train,262165$_$2,4
train,262165$_$4,48
train,262165$_$7,48
train,262165$_$6,31
train,262165$_$8,45
train,262165$_$13,14
train,262165$_$15,21
train,262165$_$17,12
train,262165$_$19,48
train,262165$_$18,17
train,264418$_$10,15
train,264418$_$13,6
train,264418$_$15,10
train,264418$_$4,29
train,264418$_$6,48
train,264446$_$23,31
train,264446$_$44,9
train,264446$_$43,13
train,264446$_$2,25
train,264446$_$38,31
train,264446$_$15,40
train,264446$_$14,37
train,265959$_$11,23
train,265959$_$15,5
train,265959$_$16,6
train,265959$_$0,26
train,265959$_$2,22
train,265959$_$5,35
train,265959$_$7,48
train,265959$_$9,33
train,266366$_$14,19
train,266366$_$16,4
train,266366$_$1,19
train,266366$_$0,1
train,266366$_$7,48
train,266366$_$8,48
train,266396$_$55,7
train,266396$_$82,4
train,266396$_$80,5
train,266396$_$87,6
train,266396$_$85,14
train,266396$_$33,7
train,266396$_$91,9
train,266396$_$93,4
train,266396$_$10,14
train,266396$_$18,11
train,266396$_$44,23
train,266396$_$45,8
train,266396$_$43,23
train,266396$_$74,12
train,266852$_$25,16
train,266852$_$20,48
train,266852$_$2,17
train,266852$_$13,32
train,266938$_$42,10
train,266938$_$43,9
train,266938$_$23,48
train,266938$_$25,34
train,266938$_$20,8
train,266938$_$49,29
train,266938$_$29,31
train,266938$_$0,11
train,266938$_$8,33
train,266938$_$38,33
train,266938$_$10,28
train,266938$_$15,19
train,266938$_$16,9
train,266938$_$54,10
train,267252$_$10,12
train,267252$_$13,25
train,267255$_$10,19
train,267255$_$13,10
train,267255$_$15,46
train,267255$_$16,15
train,267255$_$3,11
train,267255$_$7,48
train,267255$_$9,17
train,267278$_$1,14
train,267278$_$4,10
train,267278$_$9,24
train,267278$_$11,9
train,267278$_$14,15
train,267278$_$19,12
train,267799$_$2,14
train,267799$_$6,28
train,268836$_$2,17
train,268836$_$7,9
train,268836$_$6,1
train,268836$_$12,3
train,268836$_$15,17
train,268836$_$18,14
train,268836$_$34,13
train,270416$_$11,37
train,270416$_$13,28
train,270444$_$5,24
train,270449$_$10,14
train,270449$_$4,13
train,270628$_$24,30
train,270628$_$26,33
train,270628$_$21,46
train,270628$_$22,16
train,270628$_$0,4
train,270628$_$14,12
train,270665$_$25,32
train,270665$_$20,15
train,270665$_$22,8
train,270665$_$0,31
train,270665$_$6,38
train,270665$_$9,9
train,270665$_$13,6
train,270956$_$3,20
train,270956$_$9,25
train,270956$_$8,12
train,271366$_$26,37
train,271366$_$21,48
train,271366$_$41,7
train,271366$_$3,6
train,271366$_$5,14
train,271366$_$7,18
train,271366$_$38,20
train,271366$_$13,6
train,271366$_$17,13
train,271366$_$35,48
train,271366$_$34,17
train,271594$_$24,7
train,271594$_$23,15
train,271594$_$37,6
train,271594$_$34,14
train,271598$_$28,12
train,271598$_$10,1
train,271598$_$13,7
train,271598$_$17,16
train,271598$_$16,35
train,272375$_$11,33
train,272375$_$18,14
train,272375$_$0,10
train,273171$_$15,33
train,273171$_$1,13
train,273237$_$23,48
train,273237$_$1,13
train,273237$_$3,47
train,273237$_$11,6
train,273237$_$13,30
train,273237$_$12,39
train,273237$_$14,31
train,273237$_$17,20
train,273314$_$1,48
train,273314$_$4,12
train,273531$_$2,19
train,273531$_$7,14
train,273531$_$10,48
train,273531$_$19,18
train,274219$_$11,27
train,274219$_$3,6
train,274219$_$2,48
train,274219$_$4,13
train,275248$_$0,48
train,275620$_$3,25
train,275620$_$4,6
train,275620$_$12,17
train,275620$_$19,13
train,276217$_$24,15
train,276217$_$22,7
train,276217$_$6,10
train,276217$_$9,15
train,276217$_$38,22
train,276217$_$12,23
train,276217$_$32,12
train,276217$_$36,18
train,276217$_$19,14
train,276217$_$18,10
train,27798$_$11,14
train,27798$_$12,48
train,27798$_$15,15
train,27798$_$5,25
train,278474$_$3,12
train,278474$_$4,13
train,27ubp7CLLKQ$_$14,18
train,282560$_$15,8
train,282560$_$1,12
train,282560$_$3,15
train,282560$_$5,9
train,282560$_$4,28
train,282560$_$7,26
train,282560$_$6,5
train,282560$_$9,23
train,282586$_$25,6
train,282586$_$22,5
train,282586$_$3,12
train,282586$_$4,6
train,282586$_$12,17
train,282586$_$16,32
train,283495$_$7,13
train,284673$_$14,3
train,284673$_$18,12
train,284673$_$5,23
train,284673$_$8,39
train,288714$_$15,11
train,288714$_$17,20
train,288714$_$5,8
train,288714$_$8,7
train,288766$_$21,13
train,288766$_$2,40
train,288766$_$7,20
train,288766$_$17,31
train,290088$_$4,9
train,29044$_$12,23
train,29044$_$3,25
train,29044$_$2,26
train,29044$_$4,11
train,291121$_$7,34
train,292277$_$10,21
train,292277$_$2,14
train,292277$_$5,10
train,292277$_$4,46
train,294178$_$11,8
train,294178$_$14,4
train,294178$_$1,19
train,294178$_$0,8
train,294178$_$3,17
train,294178$_$7,19
train,295793$_$14,8
train,295793$_$3,25
train,295793$_$9,23
train,298736$_$26,12
train,298736$_$22,4
train,298736$_$28,15
train,298736$_$0,10
train,298736$_$7,16
train,298736$_$17,19
train,298736$_$16,8
train,298736$_$32,39
train,298774$_$12,17
train,298774$_$15,10
train,298774$_$17,6
train,298774$_$1,12
train,298774$_$4,13
train,2Crezdbre6I$_$10,34
train,2HmBM3GGTlg$_$2,5
train,2HmBM3GGTlg$_$5,6
train,2HmBM3GGTlg$_$7,19
train,2JY5HXBWO84$_$20,16
train,2JY5HXBWO84$_$14,25
train,2LpVvLemgvw$_$5,5
train,2PgJok07td4$_$3,27
train,2RDubrUjI-k$_$8,22
train,2RDubrUjI-k$_$4,17
train,2YwgSmmLibs$_$6,48
train,2ahFSMFvs_c$_$0,22
train,2c2fhh_Dsoo$_$4,29
train,2c6Gb73nx4E$_$2,38
train,2cwNG0YuwtQ$_$23,17
train,2cwNG0YuwtQ$_$1,21
train,2cwNG0YuwtQ$_$15,22
train,2f6ZHqJ76EU$_$8,41
train,2h9VVQUZjK0$_$12,9
train,2h9VVQUZjK0$_$8,14
train,2lj0BaPsJpM$_$7,19
train,2mWPHvbKzL8$_$10,22
train,2mWPHvbKzL8$_$15,21
train,2mWPHvbKzL8$_$19,39
train,2mWPHvbKzL8$_$3,29
train,2mWPHvbKzL8$_$2,21
train,2mWPHvbKzL8$_$4,25
train,2mWPHvbKzL8$_$6,12
train,2qKajMu7Vhc$_$2,18
train,2qKajMu7Vhc$_$4,8
train,2vX-ZRQQDwo$_$3,18
train,2vX-ZRQQDwo$_$4,15
train,2w7rpDe-HoA$_$1,18
train,2w7rpDe-HoA$_$3,48
train,2w7rpDe-HoA$_$5,48
train,2w7rpDe-HoA$_$7,26
train,30763$_$13,17
train,30763$_$15,21
train,30763$_$0,1
train,31197$_$3,28
train,31tcuDMQ_H8$_$11,17
train,31tcuDMQ_H8$_$1,48
train,327283$_$3,11
train,327283$_$2,15
train,327283$_$6,6
train,33312$_$0,2
train,33312$_$7,35
train,33312$_$6,47
train,33312$_$8,44
train,33439$_$10,21
train,33439$_$0,9
train,33439$_$3,39
train,33439$_$2,35
train,33439$_$9,10
train,33ueXDUn3mA$_$11,19
train,33ueXDUn3mA$_$1,29
train,34-ogj6rh6w$_$0,24
train,34-ogj6rh6w$_$2,6
train,34-ogj6rh6w$_$7,25
train,34-ogj6rh6w$_$8,14
train,34346$_$11,15
train,34346$_$14,21
train,34346$_$1,9
train,34346$_$0,16
train,34346$_$7,10
train,36098$_$1,5
train,36098$_$2,7
train,367506$_$10,9
train,367506$_$13,11
train,367506$_$15,6
train,367506$_$14,45
train,367506$_$1,1
train,367506$_$5,41
train,367576$_$2,40
train,367576$_$4,46
train,367576$_$9,27
train,36o2cux9kfQ$_$13,19
train,37117$_$1,48
train,37117$_$4,10
train,37117$_$6,15
train,37117$_$9,48
train,37117$_$8,48
train,37459$_$3,33
train,37459$_$2,27
train,37459$_$6,31
train,38019$_$0,31
train,38374$_$3,23
train,38374$_$7,48
train,38374$_$9,48
train,39lcRCFvV-s$_$21,28
train,39lcRCFvV-s$_$22,25
train,39lcRCFvV-s$_$46,17
train,39lcRCFvV-s$_$39,23
train,39lcRCFvV-s$_$13,44
train,39lcRCFvV-s$_$12,31
train,39lcRCFvV-s$_$19,27
train,39lcRCFvV-s$_$18,5
train,39lcRCFvV-s$_$30,9
train,3B1zIUj-k3o$_$10,42
train,3DOrdP4H8SA$_$13,7
train,3DOrdP4H8SA$_$3,13
train,3DgOMTs3A1E$_$24,6
train,3DgOMTs3A1E$_$22,9
train,3DgOMTs3A1E$_$23,43
train,3DgOMTs3A1E$_$1,17
train,3DgOMTs3A1E$_$7,12
train,3DgOMTs3A1E$_$17,27
train,3FpmKxZgihw$_$0,26
train,3GyEnzE1NTQ$_$14,26
train,3GyEnzE1NTQ$_$3,35
train,3GyEnzE1NTQ$_$4,16
train,3OMgvtWNHp4$_$10,10
train,3OuNMjZo5wg$_$13,32
train,3VsrcbjPwZY$_$0,33
train,3VsrcbjPwZY$_$7,47
train,3Wi0if_L6Ug$_$13,14
train,3Wi0if_L6Ug$_$12,24
train,3Wi0if_L6Ug$_$17,21
train,3Wi0if_L6Ug$_$4,22
train,3Wi0if_L6Ug$_$9,22
train,3aD0xAgxxyw$_$11,29
train,3aD0xAgxxyw$_$0,29
train,3aIQUQgawaI$_$12,26
train,3aIQUQgawaI$_$19,26
train,3aIQUQgawaI$_$5,43
train,3aIQUQgawaI$_$4,46
train,3aIQUQgawaI$_$7,48
train,3fhCxePBuZY$_$10,42
train,3fhCxePBuZY$_$4,16
train,3gA34VxBijI$_$1,21
train,3kNPvhdF1NA$_$0,48
train,3lkn8MS3n8Q$_$27,28
train,3lkn8MS3n8Q$_$6,24
train,3n44IP3tCVE$_$13,31
train,3n44IP3tCVE$_$0,21
train,3n44IP3tCVE$_$5,48
train,3n44IP3tCVE$_$6,24
train,3ocpWAmSNUE$_$5,22
train,3ocpWAmSNUE$_$6,12
train,3paDwuRQP1w$_$0,18
train,3sUS8vXbRwg$_$13,20
train,40181$_$21,22
train,40181$_$9,19
train,40181$_$13,48
train,40181$_$19,4
train,40260$_$8,26
train,40260$_$19,38
train,40260$_$18,48
train,41692$_$1,16
train,43371$_$6,34
train,43371$_$8,13
train,43456$_$2,29
train,43456$_$8,15
train,44780$_$1,24
train,44780$_$0,2
train,44780$_$3,48
train,44780$_$2,10
train,44780$_$7,48
train,44780$_$6,18
train,45175$_$9,22
train,45184$_$2,36
train,45184$_$5,48
train,45186$_$3,42
train,45186$_$2,23
train,45676$_$6,40
train,45c3QQzGakM$_$5,24
train,46497$_$1,10
train,46497$_$3,48
train,46604$_$3,12
train,46604$_$2,13
train,46604$_$4,9
train,46618$_$1,36
train,46618$_$0,16
train,46618$_$2,33
train,47472$_$10,29
train,47472$_$1,13
train,47472$_$4,9
train,47472$_$6,42
train,47472$_$8,36
train,49358$_$4,13
train,49358$_$6,19
train,49358$_$9,31
train,4AQC7_uCuEE$_$27,24
train,4AQC7_uCuEE$_$22,16
train,4AQC7_uCuEE$_$23,18
train,4BoE-woHtwA$_$12,34
train,4BoE-woHtwA$_$1,20
train,4BoE-woHtwA$_$5,17
