condition,sample_id,modality,position,state
clean,188343$_$12,vision,41,0
clean,188343$_$12,vision,42,0
clean,188343$_$12,vision,43,0
clean,188343$_$12,vision,44,0
clean,188343$_$12,vision,45,0
clean,188343$_$12,vision,46,0
clean,188343$_$12,vision,47,0
clean,188343$_$12,vision,48,0
clean,188343$_$12,vision,49,0
text_30_middle,188343$_$12,text,0,0
text_30_middle,188343$_$12,text,1,2
text_30_middle,188343$_$12,text,2,2
text_30_middle,188343$_$12,text,3,2
text_30_middle,188343$_$12,text,4,2
text_30_middle,188343$_$12,text,5,2
text_30_middle,188343$_$12,text,6,2
text_30_middle,188343$_$12,text,7,2
text_30_middle,188343$_$12,text,8,2
text_30_middle,188343$_$12,text,9,2
text_30_middle,188343$_$12,text,10,2
text_30_middle,188343$_$12,text,11,3
text_30_middle,188343$_$12,text,12,3
text_30_middle,188343$_$12,text,13,3
text_30_middle,188343$_$12,text,14,3
text_30_middle,188343$_$12,text,15,3
text_30_middle,188343$_$12,text,16,3
text_30_middle,188343$_$12,text,17,3
text_30_middle,188343$_$12,text,18,3
text_30_middle,188343$_$12,text,19,3
text_30_middle,188343$_$12,text,20,2
text_30_middle,188343$_$12,text,21,2
text_30_middle,188343$_$12,text,22,2
text_30_middle,188343$_$12,text,23,2
text_30_middle,188343$_$12,text,24,2
text_30_middle,188343$_$12,text,25,2
text_30_middle,188343$_$12,text,26,2
text_30_middle,188343$_$12,text,27,2
text_30_middle,188343$_$12,text,28,2
text_30_middle,188343$_$12,text,29,2
text_30_middle,188343$_$12,text,30,2
text_30_middle,188343$_$12,text,31,0
text_30_middle,188343$_$12,text,32,0
text_30_middle,188343$_$12,text,33,0
text_30_middle,188343$_$12,text,34,0
text_30_middle,188343$_$12,text,35,0
text_30_middle,188343$_$12,text,36,0
text_30_middle,188343$_$12,text,37,0
text_30_middle,188343$_$12,text,38,0
text_30_middle,188343$_$12,text,39,0
text_30_middle,188343$_$12,text,40,0
text_30_middle,188343$_$12,text,41,0
text_30_middle,188343$_$12,text,42,0
text_30_middle,188343$_$12,text,43,0
text_30_middle,188343$_$12,text,44,0
text_30_middle,188343$_$12,text,45,0
text_30_middle,188343$_$12,text,46,0
text_30_middle,188343$_$12,text,47,0
text_30_middle,188343$_$12,text,48,0
text_30_middle,188343$_$12,text,49,0
text_30_middle,188343$_$12,audio,0,0
text_30_middle,188343$_$12,audio,1,2
text_30_middle,188343$_$12,audio,2,2
text_30_middle,188343$_$12,audio,3,2
text_30_middle,188343$_$12,audio,4,2
text_30_middle,188343$_$12,audio,5,2
text_30_middle,188343$_$12,audio,6,2
text_30_middle,188343$_$12,audio,7,2
text_30_middle,188343$_$12,audio,8,2
text_30_middle,188343$_$12,audio,9,2
text_30_middle,188343$_$12,audio,10,2
text_30_middle,188343$_$12,audio,11,2
text_30_middle,188343$_$12,audio,12,2
text_30_middle,188343$_$12,audio,13,2
text_30_middle,188343$_$12,audio,14,2
text_30_middle,188343$_$12,audio,15,2
text_30_middle,188343$_$12,audio,16,2
text_30_middle,188343$_$12,audio,17,2
text_30_middle,188343$_$12,audio,18,2
text_30_middle,188343$_$12,audio,19,2
text_30_middle,188343$_$12,audio,20,2
text_30_middle,188343$_$12,audio,21,2
text_30_middle,188343$_$12,audio,22,2
text_30_middle,188343$_$12,audio,23,2
text_30_middle,188343$_$12,audio,24,2
text_30_middle,188343$_$12,audio,25,2
text_30_middle,188343$_$12,audio,26,2
text_30_middle,188343$_$12,audio,27,2
text_30_middle,188343$_$12,audio,28,2
text_30_middle,188343$_$12,audio,29,2
text_30_middle,188343$_$12,audio,30,2
text_30_middle,188343$_$12,audio,31,0
text_30_middle,188343$_$12,audio,32,0
text_30_middle,188343$_$12,audio,33,0
text_30_middle,188343$_$12,audio,34,0
text_30_middle,188343$_$12,audio,35,0
text_30_middle,188343$_$12,audio,36,0
text_30_middle,188343$_$12,audio,37,0
text_30_middle,188343$_$12,audio,38,0
text_30_middle,188343$_$12,audio,39,0
text_30_middle,188343$_$12,audio,40,0
text_30_middle,188343$_$12,audio,41,0
text_30_middle,188343$_$12,audio,42,0
text_30_middle,188343$_$12,audio,43,0
text_30_middle,188343$_$12,audio,44,0
text_30_middle,188343$_$12,audio,45,0
text_30_middle,188343$_$12,audio,46,0
text_30_middle,188343$_$12,audio,47,0
text_30_middle,188343$_$12,audio,48,0
text_30_middle,188343$_$12,audio,49,0
text_30_middle,188343$_$12,vision,0,0
text_30_middle,188343$_$12,vision,1,2
text_30_middle,188343$_$12,vision,2,2
text_30_middle,188343$_$12,vision,3,2
text_30_middle,188343$_$12,vision,4,2
text_30_middle,188343$_$12,vision,5,2
text_30_middle,188343$_$12,vision,6,2
text_30_middle,188343$_$12,vision,7,2
text_30_middle,188343$_$12,vision,8,2
text_30_middle,188343$_$12,vision,9,2
text_30_middle,188343$_$12,vision,10,2
text_30_middle,188343$_$12,vision,11,2
text_30_middle,188343$_$12,vision,12,2
text_30_middle,188343$_$12,vision,13,2
text_30_middle,188343$_$12,vision,14,2
text_30_middle,188343$_$12,vision,15,2
text_30_middle,188343$_$12,vision,16,2
text_30_middle,188343$_$12,vision,17,2
text_30_middle,188343$_$12,vision,18,2
text_30_middle,188343$_$12,vision,19,2
text_30_middle,188343$_$12,vision,20,2
text_30_middle,188343$_$12,vision,21,2
text_30_middle,188343$_$12,vision,22,2
text_30_middle,188343$_$12,vision,23,2
text_30_middle,188343$_$12,vision,24,2
text_30_middle,188343$_$12,vision,25,2
text_30_middle,188343$_$12,vision,26,2
text_30_middle,188343$_$12,vision,27,2
text_30_middle,188343$_$12,vision,28,2
text_30_middle,188343$_$12,vision,29,2
text_30_middle,188343$_$12,vision,30,2
text_30_middle,188343$_$12,vision,31,0
text_30_middle,188343$_$12,vision,32,0
text_30_middle,188343$_$12,vision,33,0
text_30_middle,188343$_$12,vision,34,0
text_30_middle,188343$_$12,vision,35,0
text_30_middle,188343$_$12,vision,36,0
text_30_middle,188343$_$12,vision,37,0
text_30_middle,188343$_$12,vision,38,0
text_30_middle,188343$_$12,vision,39,0
text_30_middle,188343$_$12,vision,40,0
text_30_middle,188343$_$12,vision,41,0
text_30_middle,188343$_$12,vision,42,0
text_30_middle,188343$_$12,vision,43,0
text_30_middle,188343$_$12,vision,44,0
text_30_middle,188343$_$12,vision,45,0
text_30_middle,188343$_$12,vision,46,0
text_30_middle,188343$_$12,vision,47,0
text_30_middle,188343$_$12,vision,48,0
text_30_middle,188343$_$12,vision,49,0
audio_vision_30_sync,188343$_$12,text,0,0
audio_vision_30_sync,188343$_$12,text,1,2
audio_vision_30_sync,188343$_$12,text,2,2
audio_vision_30_sync,188343$_$12,text,3,2
audio_vision_30_sync,188343$_$12,text,4,2
audio_vision_30_sync,188343$_$12,text,5,2
audio_vision_30_sync,188343$_$12,text,6,2
audio_vision_30_sync,188343$_$12,text,7,2
audio_vision_30_sync,188343$_$12,text,8,2
audio_vision_30_sync,188343$_$12,text,9,2
audio_vision_30_sync,188343$_$12,text,10,2
audio_vision_30_sync,188343$_$12,text,11,2
audio_vision_30_sync,188343$_$12,text,12,2
audio_vision_30_sync,188343$_$12,text,13,2
audio_vision_30_sync,188343$_$12,text,14,2
audio_vision_30_sync,188343$_$12,text,15,2
audio_vision_30_sync,188343$_$12,text,16,2
audio_vision_30_sync,188343$_$12,text,17,2
audio_vision_30_sync,188343$_$12,text,18,2
audio_vision_30_sync,188343$_$12,text,19,2
audio_vision_30_sync,188343$_$12,text,20,2
audio_vision_30_sync,188343$_$12,text,21,2
audio_vision_30_sync,188343$_$12,text,22,2
audio_vision_30_sync,188343$_$12,text,23,2
audio_vision_30_sync,188343$_$12,text,24,2
audio_vision_30_sync,188343$_$12,text,25,2
audio_vision_30_sync,188343$_$12,text,26,2
audio_vision_30_sync,188343$_$12,text,27,2
audio_vision_30_sync,188343$_$12,text,28,2
audio_vision_30_sync,188343$_$12,text,29,2
audio_vision_30_sync,188343$_$12,text,30,2
audio_vision_30_sync,188343$_$12,text,31,0
audio_vision_30_sync,188343$_$12,text,32,0
audio_vision_30_sync,188343$_$12,text,33,0
audio_vision_30_sync,188343$_$12,text,34,0
audio_vision_30_sync,188343$_$12,text,35,0
audio_vision_30_sync,188343$_$12,text,36,0
audio_vision_30_sync,188343$_$12,text,37,0
audio_vision_30_sync,188343$_$12,text,38,0
audio_vision_30_sync,188343$_$12,text,39,0
audio_vision_30_sync,188343$_$12,text,40,0
audio_vision_30_sync,188343$_$12,text,41,0
audio_vision_30_sync,188343$_$12,text,42,0
audio_vision_30_sync,188343$_$12,text,43,0
audio_vision_30_sync,188343$_$12,text,44,0
audio_vision_30_sync,188343$_$12,text,45,0
audio_vision_30_sync,188343$_$12,text,46,0
audio_vision_30_sync,188343$_$12,text,47,0
audio_vision_30_sync,188343$_$12,text,48,0
audio_vision_30_sync,188343$_$12,text,49,0
audio_vision_30_sync,188343$_$12,audio,0,0
audio_vision_30_sync,188343$_$12,audio,1,2
audio_vision_30_sync,188343$_$12,audio,2,2
audio_vision_30_sync,188343$_$12,audio,3,2
audio_vision_30_sync,188343$_$12,audio,4,2
audio_vision_30_sync,188343$_$12,audio,5,2
audio_vision_30_sync,188343$_$12,audio,6,2
audio_vision_30_sync,188343$_$12,audio,7,2
audio_vision_30_sync,188343$_$12,audio,8,2
audio_vision_30_sync,188343$_$12,audio,9,2
audio_vision_30_sync,188343$_$12,audio,10,2
audio_vision_30_sync,188343$_$12,audio,11,3
audio_vision_30_sync,188343$_$12,audio,12,3
audio_vision_30_sync,188343$_$12,audio,13,3
audio_vision_30_sync,188343$_$12,audio,14,3
audio_vision_30_sync,188343$_$12,audio,15,3
audio_vision_30_sync,188343$_$12,audio,16,3
audio_vision_30_sync,188343$_$12,audio,17,3
audio_vision_30_sync,188343$_$12,audio,18,3
audio_vision_30_sync,188343$_$12,audio,19,3
audio_vision_30_sync,188343$_$12,audio,20,2
audio_vision_30_sync,188343$_$12,audio,21,2
audio_vision_30_sync,188343$_$12,audio,22,2
audio_vision_30_sync,188343$_$12,audio,23,2
audio_vision_30_sync,188343$_$12,audio,24,2
audio_vision_30_sync,188343$_$12,audio,25,2
audio_vision_30_sync,188343$_$12,audio,26,2
audio_vision_30_sync,188343$_$12,audio,27,2
audio_vision_30_sync,188343$_$12,audio,28,2
audio_vision_30_sync,188343$_$12,audio,29,2
audio_vision_30_sync,188343$_$12,audio,30,2
audio_vision_30_sync,188343$_$12,audio,31,0
audio_vision_30_sync,188343$_$12,audio,32,0
audio_vision_30_sync,188343$_$12,audio,33,0
audio_vision_30_sync,188343$_$12,audio,34,0
audio_vision_30_sync,188343$_$12,audio,35,0
audio_vision_30_sync,188343$_$12,audio,36,0
audio_vision_30_sync,188343$_$12,audio,37,0
audio_vision_30_sync,188343$_$12,audio,38,0
audio_vision_30_sync,188343$_$12,audio,39,0
audio_vision_30_sync,188343$_$12,audio,40,0
audio_vision_30_sync,188343$_$12,audio,41,0
audio_vision_30_sync,188343$_$12,audio,42,0
audio_vision_30_sync,188343$_$12,audio,43,0
audio_vision_30_sync,188343$_$12,audio,44,0
audio_vision_30_sync,188343$_$12,audio,45,0
audio_vision_30_sync,188343$_$12,audio,46,0
audio_vision_30_sync,188343$_$12,audio,47,0
audio_vision_30_sync,188343$_$12,audio,48,0
audio_vision_30_sync,188343$_$12,audio,49,0
audio_vision_30_sync,188343$_$12,vision,0,0
audio_vision_30_sync,188343$_$12,vision,1,2
audio_vision_30_sync,188343$_$12,vision,2,2
audio_vision_30_sync,188343$_$12,vision,3,2
audio_vision_30_sync,188343$_$12,vision,4,2
audio_vision_30_sync,188343$_$12,vision,5,2
audio_vision_30_sync,188343$_$12,vision,6,2
audio_vision_30_sync,188343$_$12,vision,7,2
audio_vision_30_sync,188343$_$12,vision,8,2
audio_vision_30_sync,188343$_$12,vision,9,2
audio_vision_30_sync,188343$_$12,vision,10,2
audio_vision_30_sync,188343$_$12,vision,11,3
audio_vision_30_sync,188343$_$12,vision,12,3
audio_vision_30_sync,188343$_$12,vision,13,3
audio_vision_30_sync,188343$_$12,vision,14,3
audio_vision_30_sync,188343$_$12,vision,15,3
audio_vision_30_sync,188343$_$12,vision,16,3
audio_vision_30_sync,188343$_$12,vision,17,3
audio_vision_30_sync,188343$_$12,vision,18,3
audio_vision_30_sync,188343$_$12,vision,19,3
audio_vision_30_sync,188343$_$12,vision,20,2
audio_vision_30_sync,188343$_$12,vision,21,2
audio_vision_30_sync,188343$_$12,vision,22,2
audio_vision_30_sync,188343$_$12,vision,23,2
audio_vision_30_sync,188343$_$12,vision,24,2
audio_vision_30_sync,188343$_$12,vision,25,2
audio_vision_30_sync,188343$_$12,vision,26,2
audio_vision_30_sync,188343$_$12,vision,27,2
audio_vision_30_sync,188343$_$12,vision,28,2
audio_vision_30_sync,188343$_$12,vision,29,2
audio_vision_30_sync,188343$_$12,vision,30,2
audio_vision_30_sync,188343$_$12,vision,31,0
audio_vision_30_sync,188343$_$12,vision,32,0
audio_vision_30_sync,188343$_$12,vision,33,0
audio_vision_30_sync,188343$_$12,vision,34,0
audio_vision_30_sync,188343$_$12,vision,35,0
audio_vision_30_sync,188343$_$12,vision,36,0
audio_vision_30_sync,188343$_$12,vision,37,0
audio_vision_30_sync,188343$_$12,vision,38,0
audio_vision_30_sync,188343$_$12,vision,39,0
audio_vision_30_sync,188343$_$12,vision,40,0
audio_vision_30_sync,188343$_$12,vision,41,0
audio_vision_30_sync,188343$_$12,vision,42,0
audio_vision_30_sync,188343$_$12,vision,43,0
audio_vision_30_sync,188343$_$12,vision,44,0
audio_vision_30_sync,188343$_$12,vision,45,0
audio_vision_30_sync,188343$_$12,vision,46,0
audio_vision_30_sync,188343$_$12,vision,47,0
audio_vision_30_sync,188343$_$12,vision,48,0
audio_vision_30_sync,188343$_$12,vision,49,0
audio_vision_30_offset,188343$_$12,text,0,0
audio_vision_30_offset,188343$_$12,text,1,2
audio_vision_30_offset,188343$_$12,text,2,2
audio_vision_30_offset,188343$_$12,text,3,2
audio_vision_30_offset,188343$_$12,text,4,2
audio_vision_30_offset,188343$_$12,text,5,2
audio_vision_30_offset,188343$_$12,text,6,2
audio_vision_30_offset,188343$_$12,text,7,2
audio_vision_30_offset,188343$_$12,text,8,2
audio_vision_30_offset,188343$_$12,text,9,2
audio_vision_30_offset,188343$_$12,text,10,2
audio_vision_30_offset,188343$_$12,text,11,2
audio_vision_30_offset,188343$_$12,text,12,2
audio_vision_30_offset,188343$_$12,text,13,2
audio_vision_30_offset,188343$_$12,text,14,2
audio_vision_30_offset,188343$_$12,text,15,2
audio_vision_30_offset,188343$_$12,text,16,2
audio_vision_30_offset,188343$_$12,text,17,2
audio_vision_30_offset,188343$_$12,text,18,2
audio_vision_30_offset,188343$_$12,text,19,2
audio_vision_30_offset,188343$_$12,text,20,2
audio_vision_30_offset,188343$_$12,text,21,2
audio_vision_30_offset,188343$_$12,text,22,2
audio_vision_30_offset,188343$_$12,text,23,2
audio_vision_30_offset,188343$_$12,text,24,2
audio_vision_30_offset,188343$_$12,text,25,2
audio_vision_30_offset,188343$_$12,text,26,2
audio_vision_30_offset,188343$_$12,text,27,2
audio_vision_30_offset,188343$_$12,text,28,2
audio_vision_30_offset,188343$_$12,text,29,2
audio_vision_30_offset,188343$_$12,text,30,2
audio_vision_30_offset,188343$_$12,text,31,0
audio_vision_30_offset,188343$_$12,text,32,0
audio_vision_30_offset,188343$_$12,text,33,0
audio_vision_30_offset,188343$_$12,text,34,0
audio_vision_30_offset,188343$_$12,text,35,0
audio_vision_30_offset,188343$_$12,text,36,0
audio_vision_30_offset,188343$_$12,text,37,0
audio_vision_30_offset,188343$_$12,text,38,0
audio_vision_30_offset,188343$_$12,text,39,0
audio_vision_30_offset,188343$_$12,text,40,0
audio_vision_30_offset,188343$_$12,text,41,0
audio_vision_30_offset,188343$_$12,text,42,0
audio_vision_30_offset,188343$_$12,text,43,0
audio_vision_30_offset,188343$_$12,text,44,0
audio_vision_30_offset,188343$_$12,text,45,0
audio_vision_30_offset,188343$_$12,text,46,0
audio_vision_30_offset,188343$_$12,text,47,0
audio_vision_30_offset,188343$_$12,text,48,0
audio_vision_30_offset,188343$_$12,text,49,0
audio_vision_30_offset,188343$_$12,audio,0,0
audio_vision_30_offset,188343$_$12,audio,1,3
audio_vision_30_offset,188343$_$12,audio,2,3
audio_vision_30_offset,188343$_$12,audio,3,3
audio_vision_30_offset,188343$_$12,audio,4,3
audio_vision_30_offset,188343$_$12,audio,5,3
audio_vision_30_offset,188343$_$12,audio,6,3
audio_vision_30_offset,188343$_$12,audio,7,3
audio_vision_30_offset,188343$_$12,audio,8,3
audio_vision_30_offset,188343$_$12,audio,9,3
audio_vision_30_offset,188343$_$12,audio,10,2
audio_vision_30_offset,188343$_$12,audio,11,2
audio_vision_30_offset,188343$_$12,audio,12,2
audio_vision_30_offset,188343$_$12,audio,13,2
audio_vision_30_offset,188343$_$12,audio,14,2
audio_vision_30_offset,188343$_$12,audio,15,2
audio_vision_30_offset,188343$_$12,audio,16,2
audio_vision_30_offset,188343$_$12,audio,17,2
audio_vision_30_offset,188343$_$12,audio,18,2
audio_vision_30_offset,188343$_$12,audio,19,2
audio_vision_30_offset,188343$_$12,audio,20,2
audio_vision_30_offset,188343$_$12,audio,21,2
audio_vision_30_offset,188343$_$12,audio,22,2
audio_vision_30_offset,188343$_$12,audio,23,2
audio_vision_30_offset,188343$_$12,audio,24,2
audio_vision_30_offset,188343$_$12,audio,25,2
audio_vision_30_offset,188343$_$12,audio,26,2
audio_vision_30_offset,188343$_$12,audio,27,2
audio_vision_30_offset,188343$_$12,audio,28,2
audio_vision_30_offset,188343$_$12,audio,29,2
audio_vision_30_offset,188343$_$12,audio,30,2
audio_vision_30_offset,188343$_$12,audio,31,0
audio_vision_30_offset,188343$_$12,audio,32,0
audio_vision_30_offset,188343$_$12,audio,33,0
audio_vision_30_offset,188343$_$12,audio,34,0
audio_vision_30_offset,188343$_$12,audio,35,0
audio_vision_30_offset,188343$_$12,audio,36,0
audio_vision_30_offset,188343$_$12,audio,37,0
audio_vision_30_offset,188343$_$12,audio,38,0
audio_vision_30_offset,188343$_$12,audio,39,0
audio_vision_30_offset,188343$_$12,audio,40,0
audio_vision_30_offset,188343$_$12,audio,41,0
audio_vision_30_offset,188343$_$12,audio,42,0
audio_vision_30_offset,188343$_$12,audio,43,0
audio_vision_30_offset,188343$_$12,audio,44,0
audio_vision_30_offset,188343$_$12,audio,45,0
audio_vision_30_offset,188343$_$12,audio,46,0
audio_vision_30_offset,188343$_$12,audio,47,0
audio_vision_30_offset,188343$_$12,audio,48,0
audio_vision_30_offset,188343$_$12,audio,49,0
audio_vision_30_offset,188343$_$12,vision,0,0
audio_vision_30_offset,188343$_$12,vision,1,2
audio_vision_30_offset,188343$_$12,vision,2,2
audio_vision_30_offset,188343$_$12,vision,3,2
audio_vision_30_offset,188343$_$12,vision,4,2
audio_vision_30_offset,188343$_$12,vision,5,2
audio_vision_30_offset,188343$_$12,vision,6,2
audio_vision_30_offset,188343$_$12,vision,7,2
audio_vision_30_offset,188343$_$12,vision,8,2
audio_vision_30_offset,188343$_$12,vision,9,2
audio_vision_30_offset,188343$_$12,vision,10,2
audio_vision_30_offset,188343$_$12,vision,11,2
audio_vision_30_offset,188343$_$12,vision,12,2
audio_vision_30_offset,188343$_$12,vision,13,2
audio_vision_30_offset,188343$_$12,vision,14,2
audio_vision_30_offset,188343$_$12,vision,15,2
audio_vision_30_offset,188343$_$12,vision,16,2
audio_vision_30_offset,188343$_$12,vision,17,2
audio_vision_30_offset,188343$_$12,vision,18,2
audio_vision_30_offset,188343$_$12,vision,19,2
audio_vision_30_offset,188343$_$12,vision,20,2
audio_vision_30_offset,188343$_$12,vision,21,2
audio_vision_30_offset,188343$_$12,vision,22,3
audio_vision_30_offset,188343$_$12,vision,23,3
audio_vision_30_offset,188343$_$12,vision,24,3
audio_vision_30_offset,188343$_$12,vision,25,3
audio_vision_30_offset,188343$_$12,vision,26,3
audio_vision_30_offset,188343$_$12,vision,27,3
audio_vision_30_offset,188343$_$12,vision,28,3
audio_vision_30_offset,188343$_$12,vision,29,3
audio_vision_30_offset,188343$_$12,vision,30,3
audio_vision_30_offset,188343$_$12,vision,31,0
audio_vision_30_offset,188343$_$12,vision,32,0
audio_vision_30_offset,188343$_$12,vision,33,0
audio_vision_30_offset,188343$_$12,vision,34,0
audio_vision_30_offset,188343$_$12,vision,35,0
audio_vision_30_offset,188343$_$12,vision,36,0
audio_vision_30_offset,188343$_$12,vision,37,0
audio_vision_30_offset,188343$_$12,vision,38,0
audio_vision_30_offset,188343$_$12,vision,39,0
audio_vision_30_offset,188343$_$12,vision,40,0
audio_vision_30_offset,188343$_$12,vision,41,0
audio_vision_30_offset,188343$_$12,vision,42,0
audio_vision_30_offset,188343$_$12,vision,43,0
audio_vision_30_offset,188343$_$12,vision,44,0
audio_vision_30_offset,188343$_$12,vision,45,0
audio_vision_30_offset,188343$_$12,vision,46,0
audio_vision_30_offset,188343$_$12,vision,47,0
audio_vision_30_offset,188343$_$12,vision,48,0
audio_vision_30_offset,188343$_$12,vision,49,0
