sample_id,condition,modality,content_positions,requested_fraction,interval_position_budget,originally_available,newly_removed_observations,actual_removed_fraction_of_available
1HK7Nea0PFo$_$1,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
216097$_$1,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
216097$_$2,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
216097$_$5,text_10_front,text,32,0.1,3,32,3,0.09375
216097$_$4,text_10_front,text,46,0.1,5,46,5,0.108695652173913
216097$_$7,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
216097$_$8,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
223431$_$11,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
223431$_$10,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
223431$_$13,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
223431$_$0,text_10_front,text,2,0.1,1,2,1,0.5
223431$_$5,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
225770$_$3,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
225770$_$5,text_10_front,text,6,0.1,1,6,1,0.1666666666666666
225770$_$4,text_10_front,text,32,0.1,3,32,3,0.09375
225770$_$6,text_10_front,text,33,0.1,3,33,3,0.0909090909090909
236021$_$12,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
236021$_$1,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
236021$_$3,text_10_front,text,7,0.1,1,7,1,0.1428571428571428
236021$_$2,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
236021$_$5,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
236021$_$4,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
237009$_$11,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
237009$_$12,text_10_front,text,45,0.1,4,45,4,0.0888888888888888
237009$_$4,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
237009$_$7,text_10_front,text,8,0.1,1,8,1,0.125
237009$_$9,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
241629$_$10,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
241629$_$0,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
241629$_$3,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
241629$_$5,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
241629$_$8,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
243646$_$11,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
243646$_$12,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
243646$_$9,text_10_front,text,1,0.1,1,1,1,1.0
243646$_$8,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
247318$_$12,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
247318$_$1,text_10_front,text,16,0.1,2,16,2,0.125
247318$_$3,text_10_front,text,5,0.1,1,5,1,0.2
247318$_$2,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
247318$_$5,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
247318$_$7,text_10_front,text,6,0.1,1,6,1,0.1666666666666666
247318$_$6,text_10_front,text,5,0.1,1,5,1,0.2
252998$_$1,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
252998$_$0,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
252998$_$5,text_10_front,text,41,0.1,4,41,4,0.0975609756097561
252998$_$4,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
252998$_$7,text_10_front,text,37,0.1,4,37,4,0.1081081081081081
252998$_$8,text_10_front,text,11,0.1,1,11,1,0.0909090909090909
257247$_$10,text_10_front,text,8,0.1,1,8,1,0.125
257247$_$12,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
257247$_$2,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
258654$_$1,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
258654$_$3,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
258654$_$4,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
266791$_$24,text_10_front,text,16,0.1,2,16,2,0.125
266791$_$20,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
266791$_$21,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
266791$_$23,text_10_front,text,34,0.1,3,34,3,0.088235294117647
266791$_$29,text_10_front,text,3,0.1,1,3,1,0.3333333333333333
266791$_$3,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
266791$_$5,text_10_front,text,32,0.1,3,32,3,0.09375
266791$_$4,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
266791$_$6,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
266791$_$8,text_10_front,text,11,0.1,1,11,1,0.0909090909090909
266791$_$11,text_10_front,text,11,0.1,1,11,1,0.0909090909090909
266791$_$14,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
270254$_$23,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
270254$_$0,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
270254$_$6,text_10_front,text,32,0.1,3,32,3,0.09375
270254$_$8,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
270254$_$11,text_10_front,text,6,0.1,1,6,1,0.1666666666666666
270254$_$14,text_10_front,text,10,0.1,1,10,1,0.1
270254$_$16,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
272624$_$10,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
272624$_$13,text_10_front,text,37,0.1,4,37,4,0.1081081081081081
272624$_$12,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
272624$_$16,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
272624$_$18,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
272624$_$2,text_10_front,text,46,0.1,5,46,5,0.108695652173913
272624$_$6,text_10_front,text,35,0.1,4,35,4,0.1142857142857142
272624$_$9,text_10_front,text,47,0.1,5,47,5,0.1063829787234042
272624$_$8,text_10_front,text,43,0.1,4,43,4,0.0930232558139534
273539$_$3,text_10_front,text,30,0.1,3,30,3,0.1
273539$_$2,text_10_front,text,3,0.1,1,3,1,0.3333333333333333
273539$_$9,text_10_front,text,46,0.1,5,46,5,0.108695652173913
290546$_$3,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
290546$_$5,text_10_front,text,33,0.1,3,33,3,0.0909090909090909
290546$_$7,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
290546$_$6,text_10_front,text,8,0.1,1,8,1,0.125
2S00zYaVrtc$_$10,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
2S00zYaVrtc$_$12,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
2S00zYaVrtc$_$20,text_10_front,text,16,0.1,2,16,2,0.125
2S00zYaVrtc$_$17,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
2S00zYaVrtc$_$5,text_10_front,text,25,0.1,2,25,2,0.08
2S00zYaVrtc$_$4,text_10_front,text,20,0.1,2,20,2,0.1
2Xt31_d0XEE$_$2,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
31474$_$11,text_10_front,text,7,0.1,1,7,1,0.1428571428571428
31474$_$14,text_10_front,text,16,0.1,2,16,2,0.125
31474$_$0,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
31474$_$3,text_10_front,text,25,0.1,2,25,2,0.08
31474$_$6,text_10_front,text,16,0.1,2,16,2,0.125
31474$_$9,text_10_front,text,8,0.1,1,8,1,0.125
31474$_$8,text_10_front,text,8,0.1,1,8,1,0.125
32681$_$1,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
32681$_$3,text_10_front,text,39,0.1,4,39,4,0.1025641025641025
32681$_$5,text_10_front,text,39,0.1,4,39,4,0.1025641025641025
32681$_$6,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
33170$_$1,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
33170$_$3,text_10_front,text,34,0.1,3,34,3,0.088235294117647
33170$_$4,text_10_front,text,33,0.1,3,33,3,0.0909090909090909
3MFNIag0wNE$_$12,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
3MFNIag0wNE$_$14,text_10_front,text,33,0.1,3,33,3,0.0909090909090909
3MFNIag0wNE$_$16,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
3MFNIag0wNE$_$7,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
3V2qm0rw920$_$11,text_10_front,text,20,0.1,2,20,2,0.1
3V2qm0rw920$_$13,text_10_front,text,29,0.1,3,29,3,0.1034482758620689
3V2qm0rw920$_$3,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
3j94B0pzSVs$_$12,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
3j94B0pzSVs$_$17,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
3j94B0pzSVs$_$1,text_10_front,text,34,0.1,3,34,3,0.088235294117647
3j94B0pzSVs$_$0,text_10_front,text,30,0.1,3,30,3,0.1
4cFeG2ydm9A$_$8,text_10_front,text,16,0.1,2,16,2,0.125
4dV3slGSc60$_$10,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
4dV3slGSc60$_$12,text_10_front,text,20,0.1,2,20,2,0.1
4dV3slGSc60$_$22,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
4dV3slGSc60$_$9,text_10_front,text,20,0.1,2,20,2,0.1
4dV3slGSc60$_$8,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
50103$_$3,text_10_front,text,45,0.1,4,45,4,0.0888888888888888
5B0PQx3Ep3k$_$5,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
5O1W39o56gg$_$1,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
5O1W39o56gg$_$2,text_10_front,text,16,0.1,2,16,2,0.125
5O1W39o56gg$_$9,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
5i6AgQSjXO4$_$3,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
5i6AgQSjXO4$_$2,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
5i6AgQSjXO4$_$6,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
5kaCGzjYukM$_$0,text_10_front,text,34,0.1,3,34,3,0.088235294117647
5kaCGzjYukM$_$3,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
5kaCGzjYukM$_$2,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
5kaCGzjYukM$_$5,text_10_front,text,32,0.1,3,32,3,0.09375
5kaCGzjYukM$_$7,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
6KvG5VbLalY$_$9,text_10_front,text,37,0.1,4,37,4,0.1081081081081081
6ZA8I83x-oY$_$0,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
6ZA8I83x-oY$_$2,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
6hFiTU77Sm0$_$1,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
6hFiTU77Sm0$_$2,text_10_front,text,16,0.1,2,16,2,0.125
6uPGcKTpC4I$_$1,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
6uPGcKTpC4I$_$2,text_10_front,text,31,0.1,3,31,3,0.0967741935483871
6uPGcKTpC4I$_$6,text_10_front,text,16,0.1,2,16,2,0.125
70280$_$11,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
70280$_$3,text_10_front,text,25,0.1,2,25,2,0.08
70280$_$4,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
70280$_$6,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
75RGHaxmUK8$_$3,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
75RGHaxmUK8$_$5,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
7_K3F-lAv1k$_$2,text_10_front,text,43,0.1,4,43,4,0.0930232558139534
7r4vRxKLFCA$_$6,text_10_front,text,37,0.1,4,37,4,0.1081081081081081
80566$_$1,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
80566$_$0,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
80566$_$3,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
80566$_$2,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
80566$_$4,text_10_front,text,7,0.1,1,7,1,0.1428571428571428
80566$_$6,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
80855$_$11,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
80855$_$10,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
80855$_$12,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
80855$_$15,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
80855$_$17,text_10_front,text,30,0.1,3,30,3,0.1
80855$_$0,text_10_front,text,1,0.1,1,1,1,1.0
80855$_$3,text_10_front,text,3,0.1,1,3,1,0.3333333333333333
80855$_$2,text_10_front,text,5,0.1,1,5,1,0.2
80855$_$7,text_10_front,text,7,0.1,1,7,1,0.1428571428571428
80855$_$20,text_10_front,text,16,0.1,2,16,2,0.125
830KzUc6CbU$_$0,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
830KzUc6CbU$_$13,text_10_front,text,47,0.1,5,47,5,0.1063829787234042
84140$_$0,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
84140$_$5,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
89835$_$1,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
89835$_$0,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
89835$_$4,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
89835$_$7,text_10_front,text,41,0.1,4,41,4,0.0975609756097561
8eaYvALnJ0o$_$1,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
8eaYvALnJ0o$_$0,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
8x_nCOh6Wmc$_$6,text_10_front,text,47,0.1,5,47,5,0.1063829787234042
96642$_$1,text_10_front,text,25,0.1,2,25,2,0.08
96642$_$3,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
96642$_$2,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
96642$_$4,text_10_front,text,35,0.1,4,35,4,0.1142857142857142
99501$_$10,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
99501$_$13,text_10_front,text,38,0.1,4,38,4,0.1052631578947368
99501$_$1,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
99501$_$0,text_10_front,text,1,0.1,1,1,1,1.0
99501$_$5,text_10_front,text,39,0.1,4,39,4,0.1025641025641025
99501$_$7,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
9QI-9w_VdB4$_$0,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
AG5EY8ZaFj4$_$3,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
AG5EY8ZaFj4$_$15,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
Arh2TKRi_mg$_$15,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
Arh2TKRi_mg$_$14,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
Arh2TKRi_mg$_$16,text_10_front,text,32,0.1,3,32,3,0.09375
Arh2TKRi_mg$_$19,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
Arh2TKRi_mg$_$32,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
Arh2TKRi_mg$_$28,text_10_front,text,16,0.1,2,16,2,0.125
Arh2TKRi_mg$_$3,text_10_front,text,32,0.1,3,32,3,0.09375
AxNy9TeTLq8$_$0,text_10_front,text,38,0.1,4,38,4,0.1052631578947368
BSKAHXFYF_I$_$1,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
BSKAHXFYF_I$_$3,text_10_front,text,32,0.1,3,32,3,0.09375
BSKAHXFYF_I$_$7,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
BSKAHXFYF_I$_$8,text_10_front,text,16,0.1,2,16,2,0.125
Baz0VVQ-E9E$_$10,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
Baz0VVQ-E9E$_$1,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
Baz0VVQ-E9E$_$5,text_10_front,text,7,0.1,1,7,1,0.1428571428571428
Baz0VVQ-E9E$_$7,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
CJGuudyvA0Y$_$4,text_10_front,text,39,0.1,4,39,4,0.1025641025641025
CPjbogfLHR4$_$2,text_10_front,text,16,0.1,2,16,2,0.125
CPjbogfLHR4$_$5,text_10_front,text,29,0.1,3,29,3,0.1034482758620689
DdUJojoFU_c$_$11,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
DdUJojoFU_c$_$15,text_10_front,text,16,0.1,2,16,2,0.125
DdUJojoFU_c$_$14,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
DdUJojoFU_c$_$17,text_10_front,text,20,0.1,2,20,2,0.1
DdUJojoFU_c$_$16,text_10_front,text,39,0.1,4,39,4,0.1025641025641025
DdUJojoFU_c$_$2,text_10_front,text,44,0.1,4,44,4,0.0909090909090909
DdUJojoFU_c$_$6,text_10_front,text,32,0.1,3,32,3,0.09375
DdUJojoFU_c$_$8,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
DlbYiwOnTyk$_$1,text_10_front,text,20,0.1,2,20,2,0.1
E8MuzHUhUHk$_$15,text_10_front,text,16,0.1,2,16,2,0.125
E8MuzHUhUHk$_$14,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
E8MuzHUhUHk$_$16,text_10_front,text,30,0.1,3,30,3,0.1
E8MuzHUhUHk$_$2,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
E8MuzHUhUHk$_$9,text_10_front,text,25,0.1,2,25,2,0.08
EEjCkc82oyk$_$7,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
EEjCkc82oyk$_$9,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
EQxkXiWAm08$_$8,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
ET1cU5_A2YM$_$1,text_10_front,text,24,0.1,2,24,2,0.0833333333333333
ET1cU5_A2YM$_$3,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
ET1cU5_A2YM$_$6,text_10_front,text,20,0.1,2,20,2,0.1
EmmuWoCUgXs$_$22,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
EmmuWoCUgXs$_$7,text_10_front,text,34,0.1,3,34,3,0.088235294117647
Es9MkKsMsjU$_$10,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
Es9MkKsMsjU$_$12,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
Es9MkKsMsjU$_$2,text_10_front,text,43,0.1,4,43,4,0.0930232558139534
Es9MkKsMsjU$_$7,text_10_front,text,36,0.1,4,36,4,0.1111111111111111
Ezn3p5FWF_U$_$4,text_10_front,text,45,0.1,4,45,4,0.0888888888888888
F1U26PLiXjM$_$1,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
F6JV-K840EY$_$2,text_10_front,text,20,0.1,2,20,2,0.1
FB_b1dm0SRY$_$10,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
FB_b1dm0SRY$_$0,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
FB_b1dm0SRY$_$6,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
FB_b1dm0SRY$_$9,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
FB_b1dm0SRY$_$8,text_10_front,text,20,0.1,2,20,2,0.1
FxxJB8hBpyQ$_$1,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
Fy0Uid9afM8$_$0,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
Fy0Uid9afM8$_$3,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
Fy0Uid9afM8$_$5,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
Fy0Uid9afM8$_$4,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
H1DpVwktfDQ$_$0,text_10_front,text,13,0.1,1,13,1,0.0769230769230769
HGicRLwgtkM$_$1,text_10_front,text,35,0.1,4,35,4,0.1142857142857142
HGicRLwgtkM$_$3,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
HGicRLwgtkM$_$2,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
HGicRLwgtkM$_$6,text_10_front,text,21,0.1,2,21,2,0.0952380952380952
HmXXW45eZL4$_$1,text_10_front,text,46,0.1,5,46,5,0.108695652173913
HmXXW45eZL4$_$4,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
IM6HW1HwHhM$_$11,text_10_front,text,25,0.1,2,25,2,0.08
IM6HW1HwHhM$_$15,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
IM6HW1HwHhM$_$17,text_10_front,text,25,0.1,2,25,2,0.08
IUmxJNs2zaY$_$3,text_10_front,text,32,0.1,3,32,3,0.09375
IUmxJNs2zaY$_$2,text_10_front,text,19,0.1,2,19,2,0.1052631578947368
JAnRCQ9A0vI$_$1,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
JAnRCQ9A0vI$_$0,text_10_front,text,10,0.1,1,10,1,0.1
JAnRCQ9A0vI$_$3,text_10_front,text,45,0.1,4,45,4,0.0888888888888888
JAnRCQ9A0vI$_$2,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
JAnRCQ9A0vI$_$5,text_10_front,text,25,0.1,2,25,2,0.08
JAnRCQ9A0vI$_$4,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
JAnRCQ9A0vI$_$8,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
JOK1SSmPtFw$_$10,text_10_front,text,17,0.1,2,17,2,0.1176470588235294
JOK1SSmPtFw$_$13,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
JOK1SSmPtFw$_$14,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
JOK1SSmPtFw$_$16,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
JOK1SSmPtFw$_$0,text_10_front,text,48,0.1,5,48,5,0.1041666666666666
JOK1SSmPtFw$_$5,text_10_front,text,26,0.1,3,26,3,0.1153846153846153
JOK1SSmPtFw$_$4,text_10_front,text,12,0.1,1,12,1,0.0833333333333333
JOK1SSmPtFw$_$8,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
JPT38CA3sGI$_$1,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
JPT38CA3sGI$_$0,text_10_front,text,16,0.1,2,16,2,0.125
JPT38CA3sGI$_$5,text_10_front,text,16,0.1,2,16,2,0.125
JVpF99zuQhA$_$0,text_10_front,text,22,0.1,2,22,2,0.0909090909090909
JVpF99zuQhA$_$2,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
JVpF99zuQhA$_$4,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
K0m1tO3Ybyc$_$15,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
K0m1tO3Ybyc$_$8,text_10_front,text,32,0.1,3,32,3,0.09375
K8gp7ncdUl8$_$5,text_10_front,text,35,0.1,4,35,4,0.1142857142857142
KDjl2exStlI$_$10,text_10_front,text,15,0.1,2,15,2,0.1333333333333333
KDjl2exStlI$_$13,text_10_front,text,14,0.1,1,14,1,0.0714285714285714
KDjl2exStlI$_$5,text_10_front,text,16,0.1,2,16,2,0.125
KDjl2exStlI$_$4,text_10_front,text,23,0.1,2,23,2,0.0869565217391304
KkKWFZZmmCM$_$1,text_10_front,text,28,0.1,3,28,3,0.1071428571428571
