sample_id,display_row,position,modality,state
80855$_$2,1,38,text,0
80855$_$2,1,39,text,0
80855$_$2,1,40,text,0
80855$_$2,1,41,text,0
80855$_$2,1,42,text,0
80855$_$2,1,43,text,0
80855$_$2,1,44,text,0
80855$_$2,1,45,text,0
80855$_$2,1,46,text,0
80855$_$2,1,47,text,0
80855$_$2,1,48,text,0
80855$_$2,1,49,text,0
sPremsknoLM$_$1,2,0,text,0
sPremsknoLM$_$1,2,1,text,2
sPremsknoLM$_$1,2,2,text,2
sPremsknoLM$_$1,2,3,text,2
sPremsknoLM$_$1,2,4,text,2
sPremsknoLM$_$1,2,5,text,2
sPremsknoLM$_$1,2,6,text,2
sPremsknoLM$_$1,2,7,text,0
sPremsknoLM$_$1,2,8,text,0
sPremsknoLM$_$1,2,9,text,0
sPremsknoLM$_$1,2,10,text,0
sPremsknoLM$_$1,2,11,text,0
sPremsknoLM$_$1,2,12,text,0
sPremsknoLM$_$1,2,13,text,0
sPremsknoLM$_$1,2,14,text,0
sPremsknoLM$_$1,2,15,text,0
sPremsknoLM$_$1,2,16,text,0
sPremsknoLM$_$1,2,17,text,0
sPremsknoLM$_$1,2,18,text,0
sPremsknoLM$_$1,2,19,text,0
sPremsknoLM$_$1,2,20,text,0
sPremsknoLM$_$1,2,21,text,0
sPremsknoLM$_$1,2,22,text,0
sPremsknoLM$_$1,2,23,text,0
sPremsknoLM$_$1,2,24,text,0
sPremsknoLM$_$1,2,25,text,0
sPremsknoLM$_$1,2,26,text,0
sPremsknoLM$_$1,2,27,text,0
sPremsknoLM$_$1,2,28,text,0
sPremsknoLM$_$1,2,29,text,0
sPremsknoLM$_$1,2,30,text,0
sPremsknoLM$_$1,2,31,text,0
sPremsknoLM$_$1,2,32,text,0
sPremsknoLM$_$1,2,33,text,0
sPremsknoLM$_$1,2,34,text,0
sPremsknoLM$_$1,2,35,text,0
sPremsknoLM$_$1,2,36,text,0
sPremsknoLM$_$1,2,37,text,0
sPremsknoLM$_$1,2,38,text,0
sPremsknoLM$_$1,2,39,text,0
sPremsknoLM$_$1,2,40,text,0
sPremsknoLM$_$1,2,41,text,0
sPremsknoLM$_$1,2,42,text,0
sPremsknoLM$_$1,2,43,text,0
sPremsknoLM$_$1,2,44,text,0
sPremsknoLM$_$1,2,45,text,0
sPremsknoLM$_$1,2,46,text,0
sPremsknoLM$_$1,2,47,text,0
sPremsknoLM$_$1,2,48,text,0
sPremsknoLM$_$1,2,49,text,0
d8BR6hsvzoY$_$0,3,0,text,0
d8BR6hsvzoY$_$0,3,1,text,2
d8BR6hsvzoY$_$0,3,2,text,2
d8BR6hsvzoY$_$0,3,3,text,2
d8BR6hsvzoY$_$0,3,4,text,2
d8BR6hsvzoY$_$0,3,5,text,2
d8BR6hsvzoY$_$0,3,6,text,2
d8BR6hsvzoY$_$0,3,7,text,2
d8BR6hsvzoY$_$0,3,8,text,0
d8BR6hsvzoY$_$0,3,9,text,0
d8BR6hsvzoY$_$0,3,10,text,0
d8BR6hsvzoY$_$0,3,11,text,0
d8BR6hsvzoY$_$0,3,12,text,0
d8BR6hsvzoY$_$0,3,13,text,0
d8BR6hsvzoY$_$0,3,14,text,0
d8BR6hsvzoY$_$0,3,15,text,0
d8BR6hsvzoY$_$0,3,16,text,0
d8BR6hsvzoY$_$0,3,17,text,0
d8BR6hsvzoY$_$0,3,18,text,0
d8BR6hsvzoY$_$0,3,19,text,0
d8BR6hsvzoY$_$0,3,20,text,0
d8BR6hsvzoY$_$0,3,21,text,0
d8BR6hsvzoY$_$0,3,22,text,0
d8BR6hsvzoY$_$0,3,23,text,0
d8BR6hsvzoY$_$0,3,24,text,0
d8BR6hsvzoY$_$0,3,25,text,0
d8BR6hsvzoY$_$0,3,26,text,0
d8BR6hsvzoY$_$0,3,27,text,0
d8BR6hsvzoY$_$0,3,28,text,0
d8BR6hsvzoY$_$0,3,29,text,0
d8BR6hsvzoY$_$0,3,30,text,0
d8BR6hsvzoY$_$0,3,31,text,0
d8BR6hsvzoY$_$0,3,32,text,0
d8BR6hsvzoY$_$0,3,33,text,0
d8BR6hsvzoY$_$0,3,34,text,0
d8BR6hsvzoY$_$0,3,35,text,0
d8BR6hsvzoY$_$0,3,36,text,0
d8BR6hsvzoY$_$0,3,37,text,0
d8BR6hsvzoY$_$0,3,38,text,0
d8BR6hsvzoY$_$0,3,39,text,0
d8BR6hsvzoY$_$0,3,40,text,0
d8BR6hsvzoY$_$0,3,41,text,0
d8BR6hsvzoY$_$0,3,42,text,0
d8BR6hsvzoY$_$0,3,43,text,0
d8BR6hsvzoY$_$0,3,44,text,0
d8BR6hsvzoY$_$0,3,45,text,0
d8BR6hsvzoY$_$0,3,46,text,0
d8BR6hsvzoY$_$0,3,47,text,0
d8BR6hsvzoY$_$0,3,48,text,0
d8BR6hsvzoY$_$0,3,49,text,0
RArhIHk4Qs4$_$8,4,0,text,0
RArhIHk4Qs4$_$8,4,1,text,2
RArhIHk4Qs4$_$8,4,2,text,2
RArhIHk4Qs4$_$8,4,3,text,2
RArhIHk4Qs4$_$8,4,4,text,2
RArhIHk4Qs4$_$8,4,5,text,2
RArhIHk4Qs4$_$8,4,6,text,2
RArhIHk4Qs4$_$8,4,7,text,2
RArhIHk4Qs4$_$8,4,8,text,2
RArhIHk4Qs4$_$8,4,9,text,0
RArhIHk4Qs4$_$8,4,10,text,0
RArhIHk4Qs4$_$8,4,11,text,0
RArhIHk4Qs4$_$8,4,12,text,0
RArhIHk4Qs4$_$8,4,13,text,0
RArhIHk4Qs4$_$8,4,14,text,0
RArhIHk4Qs4$_$8,4,15,text,0
RArhIHk4Qs4$_$8,4,16,text,0
RArhIHk4Qs4$_$8,4,17,text,0
RArhIHk4Qs4$_$8,4,18,text,0
RArhIHk4Qs4$_$8,4,19,text,0
RArhIHk4Qs4$_$8,4,20,text,0
RArhIHk4Qs4$_$8,4,21,text,0
RArhIHk4Qs4$_$8,4,22,text,0
RArhIHk4Qs4$_$8,4,23,text,0
RArhIHk4Qs4$_$8,4,24,text,0
RArhIHk4Qs4$_$8,4,25,text,0
RArhIHk4Qs4$_$8,4,26,text,0
RArhIHk4Qs4$_$8,4,27,text,0
RArhIHk4Qs4$_$8,4,28,text,0
RArhIHk4Qs4$_$8,4,29,text,0
RArhIHk4Qs4$_$8,4,30,text,0
RArhIHk4Qs4$_$8,4,31,text,0
RArhIHk4Qs4$_$8,4,32,text,0
RArhIHk4Qs4$_$8,4,33,text,0
RArhIHk4Qs4$_$8,4,34,text,0
RArhIHk4Qs4$_$8,4,35,text,0
RArhIHk4Qs4$_$8,4,36,text,0
RArhIHk4Qs4$_$8,4,37,text,0
RArhIHk4Qs4$_$8,4,38,text,0
RArhIHk4Qs4$_$8,4,39,text,0
RArhIHk4Qs4$_$8,4,40,text,0
RArhIHk4Qs4$_$8,4,41,text,0
RArhIHk4Qs4$_$8,4,42,text,0
RArhIHk4Qs4$_$8,4,43,text,0
RArhIHk4Qs4$_$8,4,44,text,0
RArhIHk4Qs4$_$8,4,45,text,0
RArhIHk4Qs4$_$8,4,46,text,0
RArhIHk4Qs4$_$8,4,47,text,0
RArhIHk4Qs4$_$8,4,48,text,0
RArhIHk4Qs4$_$8,4,49,text,0
N5xfBtD6rLY$_$7,5,0,text,0
N5xfBtD6rLY$_$7,5,1,text,2
N5xfBtD6rLY$_$7,5,2,text,2
N5xfBtD6rLY$_$7,5,3,text,2
N5xfBtD6rLY$_$7,5,4,text,2
N5xfBtD6rLY$_$7,5,5,text,2
N5xfBtD6rLY$_$7,5,6,text,2
N5xfBtD6rLY$_$7,5,7,text,2
N5xfBtD6rLY$_$7,5,8,text,2
N5xfBtD6rLY$_$7,5,9,text,2
N5xfBtD6rLY$_$7,5,10,text,0
N5xfBtD6rLY$_$7,5,11,text,0
N5xfBtD6rLY$_$7,5,12,text,0
N5xfBtD6rLY$_$7,5,13,text,0
N5xfBtD6rLY$_$7,5,14,text,0
N5xfBtD6rLY$_$7,5,15,text,0
N5xfBtD6rLY$_$7,5,16,text,0
N5xfBtD6rLY$_$7,5,17,text,0
N5xfBtD6rLY$_$7,5,18,text,0
N5xfBtD6rLY$_$7,5,19,text,0
N5xfBtD6rLY$_$7,5,20,text,0
N5xfBtD6rLY$_$7,5,21,text,0
N5xfBtD6rLY$_$7,5,22,text,0
N5xfBtD6rLY$_$7,5,23,text,0
N5xfBtD6rLY$_$7,5,24,text,0
N5xfBtD6rLY$_$7,5,25,text,0
N5xfBtD6rLY$_$7,5,26,text,0
N5xfBtD6rLY$_$7,5,27,text,0
N5xfBtD6rLY$_$7,5,28,text,0
N5xfBtD6rLY$_$7,5,29,text,0
N5xfBtD6rLY$_$7,5,30,text,0
N5xfBtD6rLY$_$7,5,31,text,0
N5xfBtD6rLY$_$7,5,32,text,0
N5xfBtD6rLY$_$7,5,33,text,0
N5xfBtD6rLY$_$7,5,34,text,0
N5xfBtD6rLY$_$7,5,35,text,0
N5xfBtD6rLY$_$7,5,36,text,0
N5xfBtD6rLY$_$7,5,37,text,0
N5xfBtD6rLY$_$7,5,38,text,0
N5xfBtD6rLY$_$7,5,39,text,0
N5xfBtD6rLY$_$7,5,40,text,0
N5xfBtD6rLY$_$7,5,41,text,0
N5xfBtD6rLY$_$7,5,42,text,0
N5xfBtD6rLY$_$7,5,43,text,0
N5xfBtD6rLY$_$7,5,44,text,0
N5xfBtD6rLY$_$7,5,45,text,0
N5xfBtD6rLY$_$7,5,46,text,0
N5xfBtD6rLY$_$7,5,47,text,0
N5xfBtD6rLY$_$7,5,48,text,0
N5xfBtD6rLY$_$7,5,49,text,0
RArhIHk4Qs4$_$19,6,0,text,0
RArhIHk4Qs4$_$19,6,1,text,2
RArhIHk4Qs4$_$19,6,2,text,2
RArhIHk4Qs4$_$19,6,3,text,2
RArhIHk4Qs4$_$19,6,4,text,2
RArhIHk4Qs4$_$19,6,5,text,2
RArhIHk4Qs4$_$19,6,6,text,2
RArhIHk4Qs4$_$19,6,7,text,2
RArhIHk4Qs4$_$19,6,8,text,2
RArhIHk4Qs4$_$19,6,9,text,2
RArhIHk4Qs4$_$19,6,10,text,2
RArhIHk4Qs4$_$19,6,11,text,0
RArhIHk4Qs4$_$19,6,12,text,0
RArhIHk4Qs4$_$19,6,13,text,0
RArhIHk4Qs4$_$19,6,14,text,0
RArhIHk4Qs4$_$19,6,15,text,0
RArhIHk4Qs4$_$19,6,16,text,0
RArhIHk4Qs4$_$19,6,17,text,0
RArhIHk4Qs4$_$19,6,18,text,0
RArhIHk4Qs4$_$19,6,19,text,0
RArhIHk4Qs4$_$19,6,20,text,0
RArhIHk4Qs4$_$19,6,21,text,0
RArhIHk4Qs4$_$19,6,22,text,0
RArhIHk4Qs4$_$19,6,23,text,0
RArhIHk4Qs4$_$19,6,24,text,0
RArhIHk4Qs4$_$19,6,25,text,0
RArhIHk4Qs4$_$19,6,26,text,0
RArhIHk4Qs4$_$19,6,27,text,0
RArhIHk4Qs4$_$19,6,28,text,0
RArhIHk4Qs4$_$19,6,29,text,0
RArhIHk4Qs4$_$19,6,30,text,0
RArhIHk4Qs4$_$19,6,31,text,0
RArhIHk4Qs4$_$19,6,32,text,0
RArhIHk4Qs4$_$19,6,33,text,0
RArhIHk4Qs4$_$19,6,34,text,0
RArhIHk4Qs4$_$19,6,35,text,0
RArhIHk4Qs4$_$19,6,36,text,0
RArhIHk4Qs4$_$19,6,37,text,0
RArhIHk4Qs4$_$19,6,38,text,0
RArhIHk4Qs4$_$19,6,39,text,0
RArhIHk4Qs4$_$19,6,40,text,0
RArhIHk4Qs4$_$19,6,41,text,0
RArhIHk4Qs4$_$19,6,42,text,0
RArhIHk4Qs4$_$19,6,43,text,0
RArhIHk4Qs4$_$19,6,44,text,0
RArhIHk4Qs4$_$19,6,45,text,0
RArhIHk4Qs4$_$19,6,46,text,0
RArhIHk4Qs4$_$19,6,47,text,0
RArhIHk4Qs4$_$19,6,48,text,0
RArhIHk4Qs4$_$19,6,49,text,0
266791$_$8,7,0,text,0
266791$_$8,7,1,text,2
266791$_$8,7,2,text,2
266791$_$8,7,3,text,2
266791$_$8,7,4,text,2
266791$_$8,7,5,text,2
266791$_$8,7,6,text,2
266791$_$8,7,7,text,2
266791$_$8,7,8,text,2
266791$_$8,7,9,text,2
266791$_$8,7,10,text,2
266791$_$8,7,11,text,2
266791$_$8,7,12,text,0
266791$_$8,7,13,text,0
266791$_$8,7,14,text,0
266791$_$8,7,15,text,0
266791$_$8,7,16,text,0
266791$_$8,7,17,text,0
266791$_$8,7,18,text,0
266791$_$8,7,19,text,0
266791$_$8,7,20,text,0
266791$_$8,7,21,text,0
266791$_$8,7,22,text,0
266791$_$8,7,23,text,0
266791$_$8,7,24,text,0
266791$_$8,7,25,text,0
266791$_$8,7,26,text,0
266791$_$8,7,27,text,0
266791$_$8,7,28,text,0
266791$_$8,7,29,text,0
266791$_$8,7,30,text,0
266791$_$8,7,31,text,0
266791$_$8,7,32,text,0
266791$_$8,7,33,text,0
266791$_$8,7,34,text,0
266791$_$8,7,35,text,0
266791$_$8,7,36,text,0
266791$_$8,7,37,text,0
266791$_$8,7,38,text,0
266791$_$8,7,39,text,0
266791$_$8,7,40,text,0
266791$_$8,7,41,text,0
266791$_$8,7,42,text,0
266791$_$8,7,43,text,0
266791$_$8,7,44,text,0
266791$_$8,7,45,text,0
266791$_$8,7,46,text,0
266791$_$8,7,47,text,0
266791$_$8,7,48,text,0
266791$_$8,7,49,text,0
3j94B0pzSVs$_$12,8,0,text,0
3j94B0pzSVs$_$12,8,1,text,2
3j94B0pzSVs$_$12,8,2,text,2
3j94B0pzSVs$_$12,8,3,text,2
3j94B0pzSVs$_$12,8,4,text,2
3j94B0pzSVs$_$12,8,5,text,2
3j94B0pzSVs$_$12,8,6,text,2
3j94B0pzSVs$_$12,8,7,text,2
3j94B0pzSVs$_$12,8,8,text,2
3j94B0pzSVs$_$12,8,9,text,2
3j94B0pzSVs$_$12,8,10,text,2
3j94B0pzSVs$_$12,8,11,text,2
3j94B0pzSVs$_$12,8,12,text,2
3j94B0pzSVs$_$12,8,13,text,0
3j94B0pzSVs$_$12,8,14,text,0
3j94B0pzSVs$_$12,8,15,text,0
3j94B0pzSVs$_$12,8,16,text,0
3j94B0pzSVs$_$12,8,17,text,0
3j94B0pzSVs$_$12,8,18,text,0
3j94B0pzSVs$_$12,8,19,text,0
3j94B0pzSVs$_$12,8,20,text,0
3j94B0pzSVs$_$12,8,21,text,0
3j94B0pzSVs$_$12,8,22,text,0
3j94B0pzSVs$_$12,8,23,text,0
3j94B0pzSVs$_$12,8,24,text,0
3j94B0pzSVs$_$12,8,25,text,0
3j94B0pzSVs$_$12,8,26,text,0
3j94B0pzSVs$_$12,8,27,text,0
3j94B0pzSVs$_$12,8,28,text,0
3j94B0pzSVs$_$12,8,29,text,0
3j94B0pzSVs$_$12,8,30,text,0
3j94B0pzSVs$_$12,8,31,text,0
3j94B0pzSVs$_$12,8,32,text,0
3j94B0pzSVs$_$12,8,33,text,0
3j94B0pzSVs$_$12,8,34,text,0
3j94B0pzSVs$_$12,8,35,text,0
3j94B0pzSVs$_$12,8,36,text,0
3j94B0pzSVs$_$12,8,37,text,0
3j94B0pzSVs$_$12,8,38,text,0
3j94B0pzSVs$_$12,8,39,text,0
3j94B0pzSVs$_$12,8,40,text,0
3j94B0pzSVs$_$12,8,41,text,0
3j94B0pzSVs$_$12,8,42,text,0
3j94B0pzSVs$_$12,8,43,text,0
3j94B0pzSVs$_$12,8,44,text,0
3j94B0pzSVs$_$12,8,45,text,0
3j94B0pzSVs$_$12,8,46,text,0
3j94B0pzSVs$_$12,8,47,text,0
3j94B0pzSVs$_$12,8,48,text,0
3j94B0pzSVs$_$12,8,49,text,0
v2Rr-EsJda8$_$6,9,0,text,0
v2Rr-EsJda8$_$6,9,1,text,2
v2Rr-EsJda8$_$6,9,2,text,2
v2Rr-EsJda8$_$6,9,3,text,2
v2Rr-EsJda8$_$6,9,4,text,2
v2Rr-EsJda8$_$6,9,5,text,2
v2Rr-EsJda8$_$6,9,6,text,2
v2Rr-EsJda8$_$6,9,7,text,2
v2Rr-EsJda8$_$6,9,8,text,2
v2Rr-EsJda8$_$6,9,9,text,2
v2Rr-EsJda8$_$6,9,10,text,2
v2Rr-EsJda8$_$6,9,11,text,2
v2Rr-EsJda8$_$6,9,12,text,2
v2Rr-EsJda8$_$6,9,13,text,0
v2Rr-EsJda8$_$6,9,14,text,0
v2Rr-EsJda8$_$6,9,15,text,0
v2Rr-EsJda8$_$6,9,16,text,0
v2Rr-EsJda8$_$6,9,17,text,0
v2Rr-EsJda8$_$6,9,18,text,0
v2Rr-EsJda8$_$6,9,19,text,0
v2Rr-EsJda8$_$6,9,20,text,0
v2Rr-EsJda8$_$6,9,21,text,0
v2Rr-EsJda8$_$6,9,22,text,0
v2Rr-EsJda8$_$6,9,23,text,0
v2Rr-EsJda8$_$6,9,24,text,0
v2Rr-EsJda8$_$6,9,25,text,0
v2Rr-EsJda8$_$6,9,26,text,0
v2Rr-EsJda8$_$6,9,27,text,0
v2Rr-EsJda8$_$6,9,28,text,0
v2Rr-EsJda8$_$6,9,29,text,0
v2Rr-EsJda8$_$6,9,30,text,0
v2Rr-EsJda8$_$6,9,31,text,0
v2Rr-EsJda8$_$6,9,32,text,0
v2Rr-EsJda8$_$6,9,33,text,0
v2Rr-EsJda8$_$6,9,34,text,0
v2Rr-EsJda8$_$6,9,35,text,0
v2Rr-EsJda8$_$6,9,36,text,0
v2Rr-EsJda8$_$6,9,37,text,0
v2Rr-EsJda8$_$6,9,38,text,0
v2Rr-EsJda8$_$6,9,39,text,0
v2Rr-EsJda8$_$6,9,40,text,0
v2Rr-EsJda8$_$6,9,41,text,0
v2Rr-EsJda8$_$6,9,42,text,0
v2Rr-EsJda8$_$6,9,43,text,0
v2Rr-EsJda8$_$6,9,44,text,0
v2Rr-EsJda8$_$6,9,45,text,0
v2Rr-EsJda8$_$6,9,46,text,0
v2Rr-EsJda8$_$6,9,47,text,0
v2Rr-EsJda8$_$6,9,48,text,0
v2Rr-EsJda8$_$6,9,49,text,0
ET1cU5_A2YM$_$3,10,0,text,0
ET1cU5_A2YM$_$3,10,1,text,2
ET1cU5_A2YM$_$3,10,2,text,2
ET1cU5_A2YM$_$3,10,3,text,2
ET1cU5_A2YM$_$3,10,4,text,2
ET1cU5_A2YM$_$3,10,5,text,2
ET1cU5_A2YM$_$3,10,6,text,2
ET1cU5_A2YM$_$3,10,7,text,2
ET1cU5_A2YM$_$3,10,8,text,2
ET1cU5_A2YM$_$3,10,9,text,2
ET1cU5_A2YM$_$3,10,10,text,2
ET1cU5_A2YM$_$3,10,11,text,2
ET1cU5_A2YM$_$3,10,12,text,2
ET1cU5_A2YM$_$3,10,13,text,2
ET1cU5_A2YM$_$3,10,14,text,0
ET1cU5_A2YM$_$3,10,15,text,0
ET1cU5_A2YM$_$3,10,16,text,0
ET1cU5_A2YM$_$3,10,17,text,0
ET1cU5_A2YM$_$3,10,18,text,0
ET1cU5_A2YM$_$3,10,19,text,0
ET1cU5_A2YM$_$3,10,20,text,0
ET1cU5_A2YM$_$3,10,21,text,0
ET1cU5_A2YM$_$3,10,22,text,0
ET1cU5_A2YM$_$3,10,23,text,0
ET1cU5_A2YM$_$3,10,24,text,0
ET1cU5_A2YM$_$3,10,25,text,0
ET1cU5_A2YM$_$3,10,26,text,0
ET1cU5_A2YM$_$3,10,27,text,0
ET1cU5_A2YM$_$3,10,28,text,0
ET1cU5_A2YM$_$3,10,29,text,0
ET1cU5_A2YM$_$3,10,30,text,0
ET1cU5_A2YM$_$3,10,31,text,0
ET1cU5_A2YM$_$3,10,32,text,0
ET1cU5_A2YM$_$3,10,33,text,0
ET1cU5_A2YM$_$3,10,34,text,0
ET1cU5_A2YM$_$3,10,35,text,0
ET1cU5_A2YM$_$3,10,36,text,0
ET1cU5_A2YM$_$3,10,37,text,0
ET1cU5_A2YM$_$3,10,38,text,0
ET1cU5_A2YM$_$3,10,39,text,0
ET1cU5_A2YM$_$3,10,40,text,0
ET1cU5_A2YM$_$3,10,41,text,0
ET1cU5_A2YM$_$3,10,42,text,0
ET1cU5_A2YM$_$3,10,43,text,0
ET1cU5_A2YM$_$3,10,44,text,0
ET1cU5_A2YM$_$3,10,45,text,0
ET1cU5_A2YM$_$3,10,46,text,0
ET1cU5_A2YM$_$3,10,47,text,0
ET1cU5_A2YM$_$3,10,48,text,0
ET1cU5_A2YM$_$3,10,49,text,0
_7HVhnSYX1Y$_$31,11,0,text,0
_7HVhnSYX1Y$_$31,11,1,text,2
_7HVhnSYX1Y$_$31,11,2,text,2
_7HVhnSYX1Y$_$31,11,3,text,2
_7HVhnSYX1Y$_$31,11,4,text,2
_7HVhnSYX1Y$_$31,11,5,text,2
_7HVhnSYX1Y$_$31,11,6,text,2
_7HVhnSYX1Y$_$31,11,7,text,2
_7HVhnSYX1Y$_$31,11,8,text,2
_7HVhnSYX1Y$_$31,11,9,text,2
_7HVhnSYX1Y$_$31,11,10,text,2
_7HVhnSYX1Y$_$31,11,11,text,2
_7HVhnSYX1Y$_$31,11,12,text,2
_7HVhnSYX1Y$_$31,11,13,text,2
_7HVhnSYX1Y$_$31,11,14,text,0
_7HVhnSYX1Y$_$31,11,15,text,0
_7HVhnSYX1Y$_$31,11,16,text,0
_7HVhnSYX1Y$_$31,11,17,text,0
_7HVhnSYX1Y$_$31,11,18,text,0
_7HVhnSYX1Y$_$31,11,19,text,0
_7HVhnSYX1Y$_$31,11,20,text,0
_7HVhnSYX1Y$_$31,11,21,text,0
_7HVhnSYX1Y$_$31,11,22,text,0
_7HVhnSYX1Y$_$31,11,23,text,0
_7HVhnSYX1Y$_$31,11,24,text,0
_7HVhnSYX1Y$_$31,11,25,text,0
_7HVhnSYX1Y$_$31,11,26,text,0
_7HVhnSYX1Y$_$31,11,27,text,0
_7HVhnSYX1Y$_$31,11,28,text,0
_7HVhnSYX1Y$_$31,11,29,text,0
_7HVhnSYX1Y$_$31,11,30,text,0
_7HVhnSYX1Y$_$31,11,31,text,0
_7HVhnSYX1Y$_$31,11,32,text,0
_7HVhnSYX1Y$_$31,11,33,text,0
_7HVhnSYX1Y$_$31,11,34,text,0
_7HVhnSYX1Y$_$31,11,35,text,0
_7HVhnSYX1Y$_$31,11,36,text,0
_7HVhnSYX1Y$_$31,11,37,text,0
_7HVhnSYX1Y$_$31,11,38,text,0
_7HVhnSYX1Y$_$31,11,39,text,0
_7HVhnSYX1Y$_$31,11,40,text,0
_7HVhnSYX1Y$_$31,11,41,text,0
_7HVhnSYX1Y$_$31,11,42,text,0
_7HVhnSYX1Y$_$31,11,43,text,0
_7HVhnSYX1Y$_$31,11,44,text,0
_7HVhnSYX1Y$_$31,11,45,text,0
_7HVhnSYX1Y$_$31,11,46,text,0
_7HVhnSYX1Y$_$31,11,47,text,0
_7HVhnSYX1Y$_$31,11,48,text,0
_7HVhnSYX1Y$_$31,11,49,text,0
80566$_$2,12,0,text,0
80566$_$2,12,1,text,2
80566$_$2,12,2,text,2
80566$_$2,12,3,text,2
80566$_$2,12,4,text,2
80566$_$2,12,5,text,2
80566$_$2,12,6,text,2
80566$_$2,12,7,text,2
80566$_$2,12,8,text,2
80566$_$2,12,9,text,2
80566$_$2,12,10,text,2
80566$_$2,12,11,text,2
80566$_$2,12,12,text,2
80566$_$2,12,13,text,2
80566$_$2,12,14,text,2
80566$_$2,12,15,text,0
80566$_$2,12,16,text,0
80566$_$2,12,17,text,0
80566$_$2,12,18,text,0
80566$_$2,12,19,text,0
80566$_$2,12,20,text,0
80566$_$2,12,21,text,0
80566$_$2,12,22,text,0
80566$_$2,12,23,text,0
80566$_$2,12,24,text,0
80566$_$2,12,25,text,0
80566$_$2,12,26,text,0
80566$_$2,12,27,text,0
80566$_$2,12,28,text,0
80566$_$2,12,29,text,0
80566$_$2,12,30,text,0
80566$_$2,12,31,text,0
80566$_$2,12,32,text,0
80566$_$2,12,33,text,0
80566$_$2,12,34,text,0
80566$_$2,12,35,text,0
80566$_$2,12,36,text,0
80566$_$2,12,37,text,0
80566$_$2,12,38,text,0
80566$_$2,12,39,text,0
80566$_$2,12,40,text,0
80566$_$2,12,41,text,0
80566$_$2,12,42,text,0
80566$_$2,12,43,text,0
80566$_$2,12,44,text,0
80566$_$2,12,45,text,0
80566$_$2,12,46,text,0
80566$_$2,12,47,text,0
80566$_$2,12,48,text,0
80566$_$2,12,49,text,0
jPrEKz1rAno$_$11,13,0,text,0
jPrEKz1rAno$_$11,13,1,text,2
jPrEKz1rAno$_$11,13,2,text,2
jPrEKz1rAno$_$11,13,3,text,2
jPrEKz1rAno$_$11,13,4,text,2
jPrEKz1rAno$_$11,13,5,text,2
jPrEKz1rAno$_$11,13,6,text,2
jPrEKz1rAno$_$11,13,7,text,2
jPrEKz1rAno$_$11,13,8,text,2
jPrEKz1rAno$_$11,13,9,text,2
jPrEKz1rAno$_$11,13,10,text,2
jPrEKz1rAno$_$11,13,11,text,2
jPrEKz1rAno$_$11,13,12,text,2
