sample_id,true_intensity,predicted_intensity,residual,absolute_error,true_class
130456$_$3,2.3333333,-0.13082747,-2.4641607,2.4641607,2
130456$_$5,-0.33333334,0.0680657,0.40139905,0.40139905,0
130456$_$4,0.0,-0.173304,-0.173304,0.173304,1
130456$_$7,-0.33333334,-0.70709544,-0.3737621,0.3737621,0
130456$_$6,0.33333334,-0.87094516,-1.2042785,1.2042785,2
188343$_$13,1.0,-1.27457,-2.27457,2.27457,2
188343$_$12,-2.0,-1.1489078,0.8510922,0.8510922,0
188343$_$5,0.0,-1.0402218,-1.0402218,1.0402218,1
188343$_$9,1.0,-0.7575864,-1.7575865,1.7575865,2
188343$_$8,-1.3333334,-1.1067843,0.22654903,0.22654903,0
1HK7Nea0PFo$_$1,0.0,-0.19929762,-0.19929762,0.19929762,1
216097$_$1,-1.0,-0.94401044,0.055989563,0.055989563,0
216097$_$2,0.0,-0.6866534,-0.6866534,0.6866534,1
216097$_$5,-0.33333334,-0.07505331,0.25828004,0.25828004,0
216097$_$4,0.0,-0.0688424,-0.0688424,0.0688424,1
216097$_$7,-0.33333334,0.58942294,0.9227563,0.9227563,0
216097$_$8,-1.6666666,-0.6260095,1.040657,1.040657,0
223431$_$11,-1.3333334,-0.98084027,0.3524931,0.3524931,0
223431$_$10,-1.0,-0.38421786,0.61578214,0.61578214,0
223431$_$13,-2.3333333,-0.6478699,1.6854634,1.6854634,0
223431$_$0,0.33333334,0.67742985,0.3440965,0.3440965,2
223431$_$5,0.0,-0.63865405,-0.63865405,0.63865405,1
225770$_$3,-1.3333334,0.015800944,1.3491343,1.3491343,0
225770$_$5,-0.33333334,-0.10875837,0.22457498,0.22457498,0
225770$_$4,0.0,-0.3352065,-0.3352065,0.3352065,1
225770$_$6,0.0,-0.07123121,-0.07123121,0.07123121,1
236021$_$12,1.3333334,0.0674715,-1.2658619,1.2658619,2
236021$_$1,0.33333334,0.009138328,-0.32419503,0.32419503,2
236021$_$3,0.0,-0.57747227,-0.57747227,0.57747227,1
236021$_$2,0.0,0.10474944,0.10474944,0.10474944,1
236021$_$5,-0.6666667,-0.9445402,-0.27787352,0.27787352,0
236021$_$4,0.6666667,0.16811538,-0.4985513,0.4985513,2
237009$_$11,-3.0,-0.7101133,2.2898867,2.2898867,0
237009$_$12,-2.6666667,-1.2425226,1.4241441,1.4241441,0
237009$_$4,0.33333334,0.16687153,-0.16646181,0.16646181,2
237009$_$7,-3.0,-0.93928766,2.0607123,2.0607123,0
237009$_$9,0.0,-1.0725144,-1.0725144,1.0725144,1
241629$_$10,-1.6666666,-0.6759235,0.9907431,0.9907431,0
241629$_$0,1.0,0.50271016,-0.49728984,0.49728984,2
241629$_$3,2.3333333,-0.7624499,-3.0957832,3.0957832,2
241629$_$5,-0.33333334,-0.15747628,0.17585707,0.17585707,0
241629$_$8,-0.33333334,-1.2085676,-0.87523425,0.87523425,0
243646$_$11,-0.6666667,-1.0438915,-0.37722486,0.37722486,0
243646$_$12,-1.3333334,-0.8574853,0.47584808,0.47584808,0
243646$_$9,0.0,-0.25101233,-0.25101233,0.25101233,1
243646$_$8,0.0,-0.728599,-0.728599,0.728599,1
247318$_$12,-2.0,-1.4960631,0.5039369,0.5039369,0
247318$_$1,0.0,0.0037466038,0.0037466038,0.0037466038,1
247318$_$3,-2.3333333,-0.798794,1.5345392,1.5345392,0
247318$_$2,-1.6666666,-0.52284366,1.1438229,1.1438229,0
247318$_$5,-0.33333334,-0.9759596,-0.6426263,0.6426263,0
247318$_$7,-2.0,-1.3905686,0.6094314,0.6094314,0
247318$_$6,-0.33333334,-0.2812989,0.052034438,0.052034438,0
252998$_$1,0.0,-0.22188497,-0.22188497,0.22188497,1
252998$_$0,0.0,-0.17070661,-0.17070661,0.17070661,1
252998$_$5,-1.3333334,-0.949259,0.3840744,0.3840744,0
252998$_$4,-0.33333334,-1.0405916,-0.7072582,0.7072582,0
252998$_$7,1.3333334,-0.7281789,-2.0615122,2.0615122,2
252998$_$8,-1.6666666,0.013326901,1.6799935,1.6799935,0
257247$_$10,-0.33333334,-1.0278207,-0.69448733,0.69448733,0
257247$_$12,-1.6666666,-1.0717094,0.59495723,0.59495723,0
257247$_$2,0.0,0.22967452,0.22967452,0.22967452,1
258654$_$1,-1.3333334,-0.72496694,0.60836643,0.60836643,0
258654$_$3,-2.3333333,-0.7047966,1.6285367,1.6285367,0
258654$_$4,0.0,0.7346379,0.7346379,0.7346379,1
266791$_$24,-1.6666666,-0.8792346,0.787432,0.787432,0
266791$_$20,0.6666667,-0.44575548,-1.1124222,1.1124222,2
266791$_$21,-1.6666666,-1.2867614,0.37990522,0.37990522,0
266791$_$23,-2.6666667,-0.16963851,2.4970284,2.4970284,0
266791$_$29,-1.6666666,-0.13209008,1.5345765,1.5345765,0
266791$_$3,1.0,-0.458184,-1.458184,1.458184,2
266791$_$5,-2.3333333,-0.7038593,1.6294739,1.6294739,0
266791$_$4,-1.6666666,-0.23005795,1.4366087,1.4366087,0
266791$_$6,0.0,-0.23043406,-0.23043406,0.23043406,1
266791$_$8,-1.3333334,-0.6873863,0.6459471,0.6459471,0
266791$_$11,1.0,-0.37638375,-1.3763838,1.3763838,2
266791$_$14,-1.3333334,-0.67806363,0.65526974,0.65526974,0
270254$_$23,-1.6666666,-0.914857,0.75180966,0.75180966,0
270254$_$0,0.0,0.111677445,0.111677445,0.111677445,1
270254$_$6,0.6666667,-0.05906258,-0.7257293,0.7257293,2
270254$_$8,-1.3333334,-0.55247796,0.7808554,0.7808554,0
270254$_$11,0.0,0.35672522,0.35672522,0.35672522,1
270254$_$14,-1.6666666,-0.16294493,1.5037217,1.5037217,0
270254$_$16,-0.6666667,-0.4633161,0.20335057,0.20335057,0
272624$_$10,-1.6666666,-0.74511814,0.9215485,0.9215485,0
272624$_$13,0.6666667,-0.41152954,-1.0781963,1.0781963,2
272624$_$12,-1.0,-0.6755566,0.3244434,0.3244434,0
272624$_$16,0.0,-0.6949275,-0.6949275,0.6949275,1
272624$_$18,0.33333334,-0.30819583,-0.6415292,0.6415292,2
272624$_$2,0.0,-0.24686778,-0.24686778,0.24686778,1
272624$_$6,-0.6666667,-0.9514015,-0.2847348,0.2847348,0
272624$_$9,-1.0,-0.27039334,0.7296066,0.7296066,0
272624$_$8,-1.6666666,-1.0291696,0.63749707,0.63749707,0
273539$_$3,-2.6666667,-0.36672416,2.2999425,2.2999425,0
273539$_$2,0.0,-0.11275166,-0.11275166,0.11275166,1
273539$_$9,-2.3333333,-1.0560083,1.2773249,1.2773249,0
290546$_$3,0.0,-0.25860777,-0.25860777,0.25860777,1
290546$_$5,-1.0,-0.8570468,0.14295322,0.14295322,0
290546$_$7,-0.33333334,-0.68800163,-0.3546683,0.3546683,0
290546$_$6,0.0,0.27296007,0.27296007,0.27296007,1
2S00zYaVrtc$_$10,-2.6666667,-0.20548296,2.4611838,2.4611838,0
2S00zYaVrtc$_$12,2.0,0.68394774,-1.3160522,1.3160522,2
2S00zYaVrtc$_$20,1.3333334,0.9055063,-0.42782706,0.42782706,2
2S00zYaVrtc$_$17,-0.33333334,0.29668996,0.6300233,0.6300233,0
2S00zYaVrtc$_$5,1.6666666,0.51689,-1.1497767,1.1497767,2
2S00zYaVrtc$_$4,1.3333334,0.6167529,-0.71658045,0.71658045,2
2Xt31_d0XEE$_$2,2.0,1.2032543,-0.79674566,0.79674566,2
31474$_$11,-1.3333334,-0.20244576,1.1308876,1.1308876,0
31474$_$14,0.0,-0.9972705,-0.9972705,0.9972705,1
31474$_$0,0.33333334,0.2518656,-0.08146775,0.08146775,2
31474$_$3,0.0,-0.045659315,-0.045659315,0.045659315,1
31474$_$6,-2.6666667,-0.88641447,1.7802522,1.7802522,0
31474$_$9,-1.0,-0.77754164,0.22245836,0.22245836,0
31474$_$8,0.0,-1.1953131,-1.1953131,1.1953131,1
32681$_$1,0.0,-0.9349222,-0.9349222,0.9349222,1
32681$_$3,-2.6666667,-0.46336412,2.2033026,2.2033026,0
32681$_$5,0.33333334,-1.0149144,-1.3482478,1.3482478,2
32681$_$6,-1.0,-0.7206392,0.27936077,0.27936077,0
33170$_$1,0.33333334,-0.8136843,-1.1470176,1.1470176,2
33170$_$3,-2.0,-0.7067797,1.2932203,1.2932203,0
33170$_$4,-2.0,-0.47619042,1.5238096,1.5238096,0
3MFNIag0wNE$_$12,-1.0,-0.33155766,0.66844237,0.66844237,0
3MFNIag0wNE$_$14,-2.0,-1.2317924,0.76820755,0.76820755,0
3MFNIag0wNE$_$16,-0.33333334,-0.04962641,0.28370693,0.28370693,0
3MFNIag0wNE$_$7,-1.0,-0.5395139,0.4604861,0.4604861,0
3V2qm0rw920$_$11,1.0,0.5112128,-0.48878717,0.48878717,2
3V2qm0rw920$_$13,3.0,1.2609793,-1.7390207,1.7390207,2
3V2qm0rw920$_$3,0.33333334,0.672729,0.33939567,0.33939567,2
3j94B0pzSVs$_$12,1.6666666,0.5892519,-1.0774148,1.0774148,2
3j94B0pzSVs$_$17,-1.3333334,-0.42458382,0.9087496,0.9087496,0
3j94B0pzSVs$_$1,0.0,-0.13453558,-0.13453558,0.13453558,1
3j94B0pzSVs$_$0,0.0,0.4050018,0.4050018,0.4050018,1
4cFeG2ydm9A$_$8,1.0,1.2413357,0.24133575,0.24133575,2
4dV3slGSc60$_$10,1.0,0.82195777,-0.17804223,0.17804223,2
4dV3slGSc60$_$12,0.6666667,1.1004384,0.43377167,0.43377167,2
4dV3slGSc60$_$22,1.6666666,0.562169,-1.1044977,1.1044977,2
4dV3slGSc60$_$9,1.6666666,0.0072648153,-1.6594018,1.6594018,2
4dV3slGSc60$_$8,1.0,0.0076231584,-0.99237686,0.99237686,2
50103$_$3,-2.0,-1.3320633,0.6679367,0.6679367,0
5B0PQx3Ep3k$_$5,1.3333334,0.9137773,-0.41955608,0.41955608,2
5O1W39o56gg$_$1,0.0,0.6976091,0.6976091,0.6976091,1
5O1W39o56gg$_$2,0.6666667,-0.028288104,-0.6949548,0.6949548,2
5O1W39o56gg$_$9,0.33333334,0.24717923,-0.08615412,0.08615412,2
5i6AgQSjXO4$_$3,0.6666667,0.8475146,0.18084794,0.18084794,2
5i6AgQSjXO4$_$2,0.0,0.5094088,0.5094088,0.5094088,1
5i6AgQSjXO4$_$6,0.0,0.2988529,0.2988529,0.2988529,1
5kaCGzjYukM$_$0,-0.33333334,-0.6105484,-0.27721503,0.27721503,0
5kaCGzjYukM$_$3,-1.6666666,-1.0031246,0.66354203,0.66354203,0
5kaCGzjYukM$_$2,-0.33333334,-0.7016062,-0.36827287,0.36827287,0
5kaCGzjYukM$_$5,-2.3333333,-0.53041834,1.8029149,1.8029149,0
5kaCGzjYukM$_$7,-0.6666667,-0.6746866,-0.008019924,0.008019924,0
6KvG5VbLalY$_$9,0.0,0.2058254,0.2058254,0.2058254,1
6ZA8I83x-oY$_$0,0.0,0.6316852,0.6316852,0.6316852,1
6ZA8I83x-oY$_$2,2.0,0.6812822,-1.3187177,1.3187177,2
6hFiTU77Sm0$_$1,0.0,0.19644903,0.19644903,0.19644903,1
6hFiTU77Sm0$_$2,0.0,0.13179593,0.13179593,0.13179593,1
6uPGcKTpC4I$_$1,0.0,0.21631455,0.21631455,0.21631455,1
6uPGcKTpC4I$_$2,0.0,0.08669326,0.08669326,0.08669326,1
6uPGcKTpC4I$_$6,1.3333334,0.32733142,-1.006002,1.006002,2
70280$_$11,-1.6666666,-0.51612014,1.1505466,1.1505466,0
70280$_$3,-0.6666667,-1.0624503,-0.3957836,0.3957836,0
70280$_$4,0.0,-0.36085594,-0.36085594,0.36085594,1
70280$_$6,-1.3333334,-0.76187533,0.57145804,0.57145804,0
75RGHaxmUK8$_$3,0.33333334,0.939209,0.6058756,0.6058756,2
75RGHaxmUK8$_$5,0.33333334,0.27567533,-0.057658017,0.057658017,2
7_K3F-lAv1k$_$2,0.0,0.275319,0.275319,0.275319,1
7r4vRxKLFCA$_$6,-0.6666667,0.6792755,1.3459423,1.3459423,0
80566$_$1,0.0,0.35071552,0.35071552,0.35071552,1
80566$_$0,0.0,-0.2918466,-0.2918466,0.2918466,1
80566$_$3,0.33333334,-0.16555254,-0.49888587,0.49888587,2
80566$_$2,0.6666667,0.57217735,-0.094489336,0.094489336,2
80566$_$4,1.3333334,0.28961894,-1.0437144,1.0437144,2
80566$_$6,0.0,-0.77528524,-0.77528524,0.77528524,1
80855$_$11,0.0,0.08664847,0.08664847,0.08664847,1
80855$_$10,0.33333334,-0.29581288,-0.6291462,0.6291462,2
80855$_$12,0.0,0.10143373,0.10143373,0.10143373,1
80855$_$15,2.0,0.47156405,-1.528436,1.528436,2
80855$_$17,0.0,-1.1676964,-1.1676964,1.1676964,1
80855$_$0,0.0,-0.023085067,-0.023085067,0.023085067,1
80855$_$3,0.0,0.052379567,0.052379567,0.052379567,1
80855$_$2,1.0,0.060964316,-0.93903565,0.93903565,2
80855$_$7,0.0,-0.58075863,-0.58075863,0.58075863,1
80855$_$20,1.0,-0.11708739,-1.1170874,1.1170874,2
830KzUc6CbU$_$0,0.0,-0.37871027,-0.37871027,0.37871027,1
830KzUc6CbU$_$13,0.33333334,-0.9411721,-1.2745055,1.2745055,2
84140$_$0,1.3333334,-0.16353764,-1.496871,1.496871,2
84140$_$5,-1.3333334,-0.4920009,0.84133244,0.84133244,0
89835$_$1,1.0,0.630455,-0.36954498,0.36954498,2
89835$_$0,0.0,0.19854975,0.19854975,0.19854975,1
89835$_$4,-2.6666667,-0.78181714,1.8848495,1.8848495,0
89835$_$7,-2.3333333,-0.9311802,1.402153,1.402153,0
8eaYvALnJ0o$_$1,2.0,0.7296038,-1.2703962,1.2703962,2
8eaYvALnJ0o$_$0,1.6666666,0.9900453,-0.6766213,0.6766213,2
8x_nCOh6Wmc$_$6,1.0,0.3695164,-0.6304836,0.6304836,2
96642$_$1,0.0,-0.48172674,-0.48172674,0.48172674,1
96642$_$3,0.6666667,0.1386944,-0.5279723,0.5279723,2
96642$_$2,0.0,0.35416695,0.35416695,0.35416695,1
96642$_$4,-2.0,-0.9159729,1.084027,1.084027,0
99501$_$10,-1.6666666,-0.5140405,1.152626,1.152626,0
99501$_$13,-1.6666666,-1.0378014,0.62886524,0.62886524,0
99501$_$1,0.0,0.26363102,0.26363102,0.26363102,1
99501$_$0,0.33333334,0.12273675,-0.21059659,0.21059659,2
99501$_$5,-0.33333334,-0.44113746,-0.10780412,0.10780412,0
99501$_$7,-1.0,-0.5878522,0.41214782,0.41214782,0
9QI-9w_VdB4$_$0,0.33333334,0.6132192,0.27988586,0.27988586,2
AG5EY8ZaFj4$_$3,0.33333334,0.5036754,0.17034206,0.17034206,2
AG5EY8ZaFj4$_$15,0.33333334,0.26258656,-0.07074678,0.07074678,2
Arh2TKRi_mg$_$15,1.0,0.95989484,-0.040105164,0.040105164,2
Arh2TKRi_mg$_$14,1.3333334,0.75627404,-0.5770593,0.5770593,2
Arh2TKRi_mg$_$16,0.6666667,0.66227716,-0.0043895245,0.0043895245,2
Arh2TKRi_mg$_$19,0.33333334,0.5172685,0.18393514,0.18393514,2
Arh2TKRi_mg$_$32,2.0,1.1714307,-0.8285693,0.8285693,2
Arh2TKRi_mg$_$28,-0.6666667,-0.31011713,0.35654956,0.35654956,0
Arh2TKRi_mg$_$3,0.6666667,0.4212217,-0.24544498,0.24544498,2
AxNy9TeTLq8$_$0,1.3333334,0.74825734,-0.58507603,0.58507603,2
BSKAHXFYF_I$_$1,0.33333334,0.12057343,-0.21275991,0.21275991,2
BSKAHXFYF_I$_$3,0.6666667,0.25937966,-0.40728703,0.40728703,2
BSKAHXFYF_I$_$7,0.33333334,0.35544586,0.022112519,0.022112519,2
BSKAHXFYF_I$_$8,0.33333334,0.42611536,0.09278202,0.09278202,2
Baz0VVQ-E9E$_$10,-0.33333334,-0.04570052,0.28763282,0.28763282,0
Baz0VVQ-E9E$_$1,0.0,0.25019667,0.25019667,0.25019667,1
Baz0VVQ-E9E$_$5,-0.6666667,-0.9794097,-0.312743,0.312743,0
Baz0VVQ-E9E$_$7,0.6666667,0.5062916,-0.16037506,0.16037506,2
CJGuudyvA0Y$_$4,-0.6666667,0.13624951,0.80291617,0.80291617,0
CPjbogfLHR4$_$2,0.0,-0.39446232,-0.39446232,0.39446232,1
CPjbogfLHR4$_$5,2.0,0.77088803,-1.2291119,1.2291119,2
DdUJojoFU_c$_$11,0.6666667,0.7285731,0.061906397,0.061906397,2
DdUJojoFU_c$_$15,0.33333334,0.88706136,0.553728,0.553728,2
DdUJojoFU_c$_$14,0.0,0.8962846,0.8962846,0.8962846,1
DdUJojoFU_c$_$17,0.33333334,0.46133494,0.1280016,0.1280016,2
DdUJojoFU_c$_$16,1.0,1.1678604,0.16786039,0.16786039,2
DdUJojoFU_c$_$2,0.33333334,1.0493536,0.7160202,0.7160202,2
DdUJojoFU_c$_$6,0.6666667,0.21488358,-0.45178312,0.45178312,2
DdUJojoFU_c$_$8,1.0,0.48052725,-0.5194727,0.5194727,2
DlbYiwOnTyk$_$1,-0.33333334,0.6519626,0.9852959,0.9852959,0
E8MuzHUhUHk$_$15,1.6666666,1.2056513,-0.46101534,0.46101534,2
E8MuzHUhUHk$_$14,0.6666667,1.1215814,0.45491475,0.45491475,2
E8MuzHUhUHk$_$16,2.0,1.1344656,-0.8655344,0.8655344,2
E8MuzHUhUHk$_$2,0.0,0.3855709,0.3855709,0.3855709,1
E8MuzHUhUHk$_$9,0.33333334,0.6623319,0.32899854,0.32899854,2
EEjCkc82oyk$_$7,-1.0,-0.6699824,0.33001763,0.33001763,0
EEjCkc82oyk$_$9,0.0,0.13271269,0.13271269,0.13271269,1
EQxkXiWAm08$_$8,0.33333334,0.11678752,-0.21654582,0.21654582,2
ET1cU5_A2YM$_$1,-2.3333333,-0.68803674,1.6452966,1.6452966,0
ET1cU5_A2YM$_$3,0.0,-0.31101444,-0.31101444,0.31101444,1
ET1cU5_A2YM$_$6,-2.0,-0.9893243,1.0106757,1.0106757,0
EmmuWoCUgXs$_$22,-0.6666667,0.5375568,1.2042235,1.2042235,0
EmmuWoCUgXs$_$7,-0.6666667,-0.26586315,0.40080354,0.40080354,0
Es9MkKsMsjU$_$10,-1.3333334,-0.4532118,0.8801216,0.8801216,0
Es9MkKsMsjU$_$12,-1.6666666,-0.67919,0.98747665,0.98747665,0
Es9MkKsMsjU$_$2,-1.6666666,-0.4267842,1.2398825,1.2398825,0
Es9MkKsMsjU$_$7,-1.6666666,-0.85482794,0.8118387,0.8118387,0
Ezn3p5FWF_U$_$4,1.0,0.92177445,-0.07822555,0.07822555,2
F1U26PLiXjM$_$1,0.6666667,0.19197142,-0.47469527,0.47469527,2
F6JV-K840EY$_$2,0.0,-0.17118943,-0.17118943,0.17118943,1
FB_b1dm0SRY$_$10,0.0,-0.47247863,-0.47247863,0.47247863,1
FB_b1dm0SRY$_$0,0.33333334,-0.1640156,-0.49734896,0.49734896,2
FB_b1dm0SRY$_$6,0.6666667,0.43913233,-0.22753435,0.22753435,2
FB_b1dm0SRY$_$9,0.0,-0.08470877,-0.08470877,0.08470877,1
FB_b1dm0SRY$_$8,1.6666666,0.74090606,-0.92576057,0.92576057,2
FxxJB8hBpyQ$_$1,-0.33333334,0.18413115,0.5174645,0.5174645,0
Fy0Uid9afM8$_$0,-1.0,-0.088943005,0.911057,0.911057,0
Fy0Uid9afM8$_$3,-0.6666667,0.091481484,0.7581482,0.7581482,0
Fy0Uid9afM8$_$5,-1.3333334,-0.119746886,1.2135864,1.2135864,0
Fy0Uid9afM8$_$4,-1.0,-0.107615285,0.8923847,0.8923847,0
H1DpVwktfDQ$_$0,1.6666666,0.3784767,-1.2881899,1.2881899,2
HGicRLwgtkM$_$1,1.0,0.26817402,-0.73182595,0.73182595,2
HGicRLwgtkM$_$3,1.0,0.27000964,-0.72999036,0.72999036,2
HGicRLwgtkM$_$2,2.0,0.8112548,-1.1887453,1.1887453,2
HGicRLwgtkM$_$6,2.3333333,0.8445611,-1.4887722,1.4887722,2
HmXXW45eZL4$_$1,-0.33333334,-0.27902368,0.054309666,0.054309666,0
HmXXW45eZL4$_$4,0.0,-1.4206923,-1.4206923,1.4206923,1
IM6HW1HwHhM$_$11,1.0,-0.59448165,-1.5944817,1.5944817,2
IM6HW1HwHhM$_$15,1.0,0.8418991,-0.1581009,0.1581009,2
IM6HW1HwHhM$_$17,0.0,0.63342506,0.63342506,0.63342506,1
IUmxJNs2zaY$_$3,0.33333334,0.714158,0.38082466,0.38082466,2
IUmxJNs2zaY$_$2,0.6666667,0.13990946,-0.52675724,0.52675724,2
JAnRCQ9A0vI$_$1,0.0,0.81307584,0.81307584,0.81307584,1
JAnRCQ9A0vI$_$0,0.0,0.3261653,0.3261653,0.3261653,1
JAnRCQ9A0vI$_$3,1.0,1.0591534,0.059153438,0.059153438,2
JAnRCQ9A0vI$_$2,1.0,1.0882068,0.08820677,0.08820677,2
JAnRCQ9A0vI$_$5,0.0,0.6388634,0.6388634,0.6388634,1
JAnRCQ9A0vI$_$4,0.0,0.345165,0.345165,0.345165,1
JAnRCQ9A0vI$_$8,1.3333334,0.82961535,-0.503718,0.503718,2
JOK1SSmPtFw$_$10,0.0,0.3598958,0.3598958,0.3598958,1
JOK1SSmPtFw$_$13,-0.6666667,0.49086216,1.1575289,1.1575289,0
JOK1SSmPtFw$_$14,0.0,0.10678995,0.10678995,0.10678995,1
JOK1SSmPtFw$_$16,0.0,0.41442004,0.41442004,0.41442004,1
JOK1SSmPtFw$_$0,1.3333334,1.0309607,-0.3023727,0.3023727,2
JOK1SSmPtFw$_$5,0.0,0.0655923,0.0655923,0.0655923,1
JOK1SSmPtFw$_$4,0.0,0.19794142,0.19794142,0.19794142,1
JOK1SSmPtFw$_$8,0.0,0.25858665,0.25858665,0.25858665,1
JPT38CA3sGI$_$1,1.0,-0.07010954,-1.0701095,1.0701095,2
JPT38CA3sGI$_$0,0.6666667,-0.031746928,-0.6984136,0.6984136,2
JPT38CA3sGI$_$5,1.3333334,-0.46119508,-1.7945285,1.7945285,2
JVpF99zuQhA$_$0,0.33333334,0.7412402,0.40790686,0.40790686,2
JVpF99zuQhA$_$2,0.0,-0.13158129,-0.13158129,0.13158129,1
JVpF99zuQhA$_$4,0.0,-0.05800132,-0.05800132,0.05800132,1
K0m1tO3Ybyc$_$15,0.0,0.65723944,0.65723944,0.65723944,1
K0m1tO3Ybyc$_$8,-1.3333334,0.48419252,1.8175259,1.8175259,0
K8gp7ncdUl8$_$5,1.0,0.03778448,-0.96221554,0.96221554,2
KDjl2exStlI$_$10,0.0,-0.7694114,-0.7694114,0.7694114,1
KDjl2exStlI$_$13,0.0,-0.42613506,-0.42613506,0.42613506,1
KDjl2exStlI$_$5,0.33333334,0.016930113,-0.31640324,0.31640324,2
KDjl2exStlI$_$4,0.0,-0.33943817,-0.33943817,0.33943817,1
KkKWFZZmmCM$_$1,0.0,0.49524236,0.49524236,0.49524236,1
KpMCvUyQCXg$_$1,0.0,0.44808194,0.44808194,0.44808194,1
KpMCvUyQCXg$_$3,-0.33333334,0.18256228,0.5158956,0.5158956,0
KpMCvUyQCXg$_$5,0.33333334,0.7160659,0.38273254,0.38273254,2
L1eFHRQGFeg$_$2,0.33333334,-0.25128445,-0.5846178,0.5846178,2
MCsvw5-7lVE$_$1,1.3333334,0.7711957,-0.56213766,0.56213766,2
MCsvw5-7lVE$_$2,0.6666667,1.0107433,0.34407657,0.34407657,2
MCsvw5-7lVE$_$4,0.0,0.48675272,0.48675272,0.48675272,1
MMpo2bDk-DU$_$10,-0.33333334,0.22037816,0.55371153,0.55371153,0
MMpo2bDk-DU$_$17,-0.6666667,-0.26080206,0.40586463,0.40586463,0
MMpo2bDk-DU$_$16,-1.0,-0.35100758,0.6489924,0.6489924,0
MMpo2bDk-DU$_$19,1.6666666,0.8404401,-0.82622653,0.82622653,2
MjaaudUc5-4$_$1,0.0,-0.222398,-0.222398,0.222398,1
MjaaudUc5-4$_$0,-0.33333334,0.46206418,0.7953975,0.7953975,0
MjaaudUc5-4$_$3,0.6666667,0.88254637,0.21587968,0.21587968,2
